acc_x,acc_y,acc_z,esc_angle,esc_speed,esc_state,gyro_x,gyro_y,gyro_z,pitch,pos_x,pos_y,pos_z,roll,status_0,status_1,status_10,status_2,status_3,status_4,status_5,status_6,status_7,status_8,status_9,timestamp,yaw
-0.02672,0.03637,0.03758,"[15933, 5639, 5460, 5689]","[1, -6, 0, 1]","[0, 0, 0, 0]",0.15427,-0.01978,-1.0089,-0.66,0.23884,0.06841,0.0,-1.91,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:34:07.886,15.87
-0.01314,0.01011,0.07315,"[15933, 5639, 5460, 5689]","[1, -6, 0, 1]","[0, 0, 0, 0]",-0.00755,0.01415,-1.01156,-0.51,0.51543,0.14893,0.0,-1.92,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:34:08.899,15.98
0.02103,0.01469,-0.82361,"[15933, 5639, 5460, 5689]","[1, -6, 0, 1]","[0, 0, 0, 0]",0.00662,0.0308,-1.01898,-0.93,0.51769,0.14836,0.0,-1.07,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:34:09.901,-21.14
0.01282,0.01162,-0.80191,"[15933, 5639, 5460, 5689]","[1, -6, 0, 1]","[0, 0, 0, 0]",0.00036,0.04322,-1.01734,-0.63,0.51868,0.14832,0.0,0.08,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:34:10.902,-67.23
0.02636,-0.02713,-0.02518,"[15933, 5639, 5460, 5689]","[1, -6, 0, 1]","[0, 0, 0, 0]",0.15358,0.02735,-1.0317,-0.4,0.563,0.0244,0.0,0.22,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:34:11.918,-73.1
-0.00379,-0.01875,-0.01331,"[15933, 5639, 5460, 5689]","[1, -6, 0, 1]","[0, 0, 0, 0]",0.01682,0.01055,-1.00981,-0.78,0.66803,-0.34001,0.0,0.35,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:34:12.930,-73.11
0.01516,-0.00044,-0.91995,"[15933, 5639, 5460, 5689]","[1, -6, 0, 1]","[0, 0, 0, 0]",0.04154,0.06721,-0.9962,-0.13,0.67506,-0.36669,0.0,0.7,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:34:13.935,-102.02
-0.03887,0.06483,-0.84359,"[15933, 5639, 5460, 5689]","[1, -6, 0, 1]","[0, 0, 0, 0]",0.00773,0.03212,-0.98992,1.16,0.6731,-0.36522,0.0,0.94,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:34:14.937,-145.72
-0.05301,0.08065,0.07822,"[15933, 5639, 5460, 5689]","[1, -6, 0, 1]","[0, 0, 0, 0]",-0.11648,-0.02077,-1.00874,1.52,0.5968,-0.40684,0.0,0.43,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:34:15.952,-162.06
0.01805,0.01663,0.01673,"[15933, 5639, 5460, 5689]","[1, -6, 0, 1]","[0, 0, 0, 0]",0.00997,0.01115,-0.9714,1.96,0.24884,-0.52091,0.0,0.51,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:34:16.968,-162.07
-0.02407,0.02146,-0.76474,"[15933, 5639, 5460, 5689]","[1, -6, 0, 1]","[0, 0, 0, 0]",0.05191,0.02509,-1.01162,2.2,0.15302,-0.55002,0.0,0.09,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:34:17.983,-177.08
-0.03223,-0.00926,-0.86101,"[15933, 5639, 5460, 5689]","[1, -6, 0, 1]","[0, 0, 0, 0]",0.02175,0.03316,-1.01358,2.27,0.14888,-0.54854,0.0,-1.29,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:34:18.984,137.31
-0.00639,0.00688,0.01962,"[15933, 5639, 5460, 5689]","[1, -6, 0, 1]","[0, 0, 0, 0]",0.00603,0.01228,-1.01114,1.84,0.1521,-0.54931,0.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:34:19.987,109.24
-0.01934,-0.00951,0.06549,"[15933, 5639, 5460, 5689]","[1, -6, 0, 1]","[0, 0, 0, 0]",0.1142,0.03315,-1.05292,1.62,0.04052,-0.26081,0.0,-2.05,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:34:20.999,109.07
-0.00902,0.0015,0.00941,"[15933, 5639, 5460, 5689]","[1, -6, 0, 1]","[0, 0, 0, 0]",-0.01973,0.00351,-1.0179,1.69,-0.03535,-0.02995,0.0,-2.09,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:34:22.000,109.11
-0.03644,0.01038,-0.80487,"[15933, 5639, 5460, 5689]","[1, -6, 0, 1]","[0, 0, 0, 0]",0.03106,0.00201,-1.013,0.81,-0.0386,-0.02363,0.0,-2.4,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:34:23.006,73.88
-0.04555,0.0398,-0.80632,"[15933, 5639, 5460, 5689]","[1, -6, 0, 1]","[0, 0, 0, 0]",-0.00427,0.02444,-1.0057,-0.58,-0.03579,-0.0228,0.0,-2.08,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:34:24.016,27.77
-0.00653,0.00293,0.01928,"[15933, 5639, 5460, 5689]","[1, -6, 0, 1]","[0, 0, 0, 0]",0.00329,0.01342,-1.01149,-0.72,-0.03649,-0.02429,0.0,-2.0,1,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:34:25.031,20.39
