time,x,y,z,pid_output,target_distance,relative_position,response_time_s
1754652865.3597248,4e-05,-0.0,0.0,1.26,0.6,0.0,22.566725254058838
1754652865.4189308,4e-05,1e-05,0.0,1.259958,0.6,2e-05,0.0
1754652865.458326,4e-05,-2e-05,0.0,1.259958,0.6,2e-05,0.0
1754652865.517824,0.00512,6e-05,0.0,1.24929,0.6,0.0051,0.0
1754652865.5651357,0.02042,0.00085,0.0,1.24929,0.6,0.0051,0.0
1754652865.6176736,0.04883,0.00198,0.0,1.157499,0.6,0.04881,0.0
1754652865.679248,0.08694,0.00637,0.0,-1.5,0.6,0.08692,0.0
1754652865.718726,0.12587,0.00795,0.0,-1.5,0.6,0.12585,0.0
1754652865.7792845,0.16603,0.01018,0.0,0.995715,0.6,0.12585,0.0
1754652865.8175993,0.21186,0.01271,0.0,0.911379,0.6,0.16601,0.0
1754652865.8737848,0.25965,0.01486,0.0,0.714777,0.6,0.2596299999999999,0.0
1754652865.917662,0.30679,0.01669,0.0,0.714777,0.6,0.2596299999999999,0.0
1754652865.974693,0.35055,0.01799,0.0,0.5238870000000001,0.6,0.3505299999999999,0.0
1754652866.039842,0.38772,0.01949,0.0,0.44583,0.6,0.3877,0.0
1754652866.0739892,0.41652,0.02116,0.0,0.44583,0.6,0.3877,0.0
1754652866.1397755,0.43786,0.02258,0.0,0.38535,0.6,0.4165,0.0
1754652866.180053,0.45316,0.02365,0.0,0.3405359999999999,0.6,0.43784,0.0
1754652866.2406957,0.46472,0.02467,0.0,0.308406,0.6,0.45314,0.0
1754652866.2761936,0.47438,0.02542,0.0,0.2638439999999999,0.6,0.47436,0.0
1754652866.3397856,0.48384,0.02613,0.0,0.2638439999999999,0.6,0.47436,0.0
1754652866.4012554,0.49522,0.0268,0.0,0.22008,0.6,0.4952,0.0
1754652866.4401555,0.508,0.02712,0.0,0.193242,0.6,0.50798,0.0
1754652866.4985864,0.52158,0.02787,0.0,0.193242,0.6,0.50798,0.0
1754652866.5396526,0.53484,0.02866,0.0,-0.826011041551242,0.6,0.53482,0.0
1754652866.589633,0.54651,0.02927,0.0,0.1123709999999998,0.6,0.54649,0.0
1754652866.6395884,0.55549,0.02944,0.0,0.1123709999999998,0.6,0.54649,0.0
1754652866.6991477,0.56088,0.02979,0.0,-1.5,0.6,0.56086,0.0
1754652866.7392569,0.56381,0.03008,0.0,-1.3897641908396887,0.6,0.56379,0.0
1754652866.7896483,0.56537,0.0299,0.0,0.0727649999999999,0.6,0.56535,0.0
1754652866.859507,0.56634,0.02972,0.0,0.0707280000000001,0.6,0.5663199999999999,0.0
1754652866.899869,0.56789,0.02951,0.0,0.0674729999999999,0.6,0.56787,0.0
1754652866.9484026,0.5706,0.02934,0.0,0.061782,0.6,0.57058,0.0
1754652867.003858,0.57483,0.02923,0.0,-1.5,0.6,0.5748099999999999,0.0
1754652867.0596013,0.58006,0.02958,0.0,-1.5,0.6,0.58004,0.0
1754652867.1201594,0.58931,0.02976,0.0,-1.5,0.6,0.58004,0.0
1754652867.157919,0.59232,0.02966,0.0,-1.5,0.6,0.58004,0.0
1754652867.2190173,0.59415,0.02948,0.0,-1.5,0.6,0.58004,0.0
1754652867.2596428,0.59536,0.02934,0.0,-1.5,0.6,0.58004,0.0
1754652867.3193142,0.59621,0.02957,0.0,-1.5,0.6,0.58004,0.0
1754652867.3565066,0.59687,0.02953,0.0,-1.5,0.6,0.58004,0.0
1754652867.419278,0.59717,0.02966,0.0,-1.5,0.6,0.58004,0.0
1754652867.4594555,0.59745,0.02981,0.0,-1.5,0.6,0.58004,0.0
1754652867.51927,0.59759,0.02996,0.0,-1.5,0.6,0.58004,0.0
1754652867.559255,0.59745,0.02981,0.0,-1.5,0.6,0.58004,0.0
1754652867.6195536,0.59738,0.0298,0.0,-1.5,0.6,0.58004,0.0
1754652867.6806724,0.59727,0.02931,0.0,-1.5,0.6,0.58004,0.0
1754652867.719687,0.59655,0.02912,0.0,-1.5,0.6,0.58004,0.0
1754652867.7787604,0.59597,0.03026,0.0,-1.5,0.6,0.58004,0.0
1754652867.8198042,0.59617,0.03067,0.0,-1.5,0.6,0.58004,0.0
1754652867.8797762,0.5966,0.03023,0.0,-1.5,0.6,0.58004,0.0
1754652867.918929,0.59704,0.02892,0.0,-1.5,0.6,0.58004,0.0
1754652867.9797618,0.59712,0.02759,0.0,-1.5,0.6,0.58004,0.0
1754652868.0187335,0.59762,0.02678,0.0,-1.5,0.6,0.58004,0.0
1754652868.0807488,0.59791,0.02691,0.0,-1.5,0.6,0.58004,0.0
1754652868.1408,0.59748,0.02816,0.0,-1.5,0.6,0.58004,0.0
1754652868.1835325,0.59758,0.02904,0.0,-1.5,0.6,0.58004,0.0
1754652868.2491472,0.59789,0.02944,0.0,-1.5,0.6,0.58004,0.0
1754652868.2801352,0.59819,0.02983,0.0,-1.5,0.6,0.58004,0.0
