time,x,y,z,pid_output,target_distance,relative_position,response_time_s
1754653646.7758744,0.0,-2e-05,0.0,0.2292425387324231,0.6,0.0,17.6797776222229
1754653646.8350644,1e-05,-3e-05,0.0,0.3983328495471769,0.6,0.0,0.0
1754653646.8800611,0.00065,-8e-05,0.0,-1.5,0.6,0.00065,0.0
1754653646.9361625,0.00571,0.00036,0.0,-1.5,0.6,0.00571,0.0
1754653646.9751637,0.02119,0.00173,0.0,-1.5,0.6,0.02119,0.0
1754653647.0347035,0.05059,0.00087,0.0,-1.5,0.6,0.05059,0.0
1754653647.0747046,0.091,0.00093,0.0,-1.5,0.6,0.091,0.0
1754653647.1352413,0.13713,-0.00075,0.0,1.0271140443007476,0.6,0.13713,0.0
1754653647.1742358,0.1847,-0.00233,0.0,1.0457065750114918,0.6,0.13713,0.0
1754653647.2344365,0.23353,-0.00367,0.0,-1.5,0.6,0.23353,0.0
1754653647.2944458,0.28178,-0.00371,0.0,0.857364331067562,0.6,0.23353,0.0
1754653647.3345404,0.28178,-0.00371,0.0,0.759867276620865,0.6,0.28178,0.0
1754653647.3876643,0.36953,-0.0038,0.0,0.7650336750211717,0.6,0.28178,0.0
1754653647.4305604,0.40715,-0.00372,0.0,0.5047225495927334,0.6,0.40715,0.0
1754653647.495826,0.44137,-0.00343,0.0,-1.5,0.6,0.44137,0.0
1754653647.5349977,0.47422,-0.00342,0.0,0.3694372421350481,0.6,0.47422,0.0
1754653647.5874846,0.50506,-0.00346,0.0,0.3714554869637491,0.6,0.47422,0.0
1754653647.6577976,0.53132,-0.00378,0.0,0.308656609313965,0.6,0.50506,0.0
1754653647.695727,0.56404,-0.00338,0.0,-1.5,0.6,0.56404,0.0
1754653647.7539916,0.57155,-0.00307,0.0,0.1704397363414764,0.6,0.57155,0.0
1754653647.8124774,0.57575,-0.00325,0.0,0.1621189121868611,0.6,0.57575,0.0
1754653647.8541107,0.5786,-0.00305,0.0,0.1624217949357033,0.6,0.57575,0.0
1754653647.9123988,0.58162,-0.00275,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653647.972567,0.58715,-0.00261,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.0164316,0.59492,-0.00248,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.071009,0.60351,-0.00234,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.1291652,0.60904,-0.00239,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.1738155,0.61017,-0.00249,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.228298,0.61034,-0.00262,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.273818,0.61058,-0.00278,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.3289506,0.61013,-0.00358,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.3748777,0.60998,-0.00357,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.428917,0.60963,-0.00314,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.473837,0.60936,-0.00309,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.5344255,0.60874,-0.0032,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.5703728,0.60833,-0.00281,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.6286263,0.60837,-0.00244,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.6748452,0.60889,-0.00263,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.7288194,0.60902,-0.00263,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.7738242,0.60928,-0.00246,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.8348415,0.61009,-0.00238,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.874948,0.61045,-0.00245,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.9277334,0.61029,-0.00208,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653648.9727926,0.61023,-0.00181,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.0338051,0.61021,-0.00249,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.0739453,0.60952,-0.00213,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.1346989,0.60956,-0.00213,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.1738548,0.61012,-0.002,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.2348645,0.61028,-0.00141,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.2869818,0.61082,-0.00166,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.3348465,0.61128,-0.00182,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.3866117,0.61082,-0.00179,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.4342463,0.61025,-0.00186,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.4862654,0.61032,-0.00143,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.554069,0.61028,-0.00109,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.594777,0.60996,-0.00102,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.6446075,0.60982,-0.00023,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.6948266,0.60986,-0.00017,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.7527957,0.61022,-0.00041,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.794598,0.61057,-0.00039,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.8531322,0.61059,-0.00085,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.89481,0.60981,-0.00099,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.954634,0.60883,-0.00033,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653649.9947717,0.60866,0.00041,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.0546255,0.60912,9e-05,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.0942929,0.60996,-9e-05,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.1516414,0.61086,-9e-05,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.195186,0.61105,-0.00051,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.245018,0.61065,-0.00064,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.2944896,0.6103,-0.00027,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.3451855,0.60969,0.00038,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.3949792,0.60866,0.00047,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.4442048,0.60713,0.00041,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.519627,0.60664,-3e-05,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.5552523,0.60649,-0.00068,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.6117544,0.60633,-0.00117,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.6556485,0.60642,-0.00157,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.7108483,0.60632,-0.00192,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.7552662,0.60636,-0.002,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.8170166,0.6064,-0.00197,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.855415,0.60646,-0.00192,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.917653,0.60652,-0.00218,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653650.954897,0.60663,-0.00236,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653651.0110674,0.60671,-0.00232,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653651.0721693,0.60682,-0.00252,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653651.119754,0.60708,-0.00264,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653651.1552718,0.60721,-0.00281,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653651.211371,0.60722,-0.0028,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653651.254787,0.60733,-0.00284,0.0,0.1504690045208931,0.6,0.58162,0.0
1754653651.3190176,0.60744,-0.00283,0.0,0.1941444054712591,0.6,1.0000000000000026e-05,0.0
1754653651.3564162,0.60749,-0.00299,0.0,-0.0154546712151319,0.6,0.0001499999999999,0.0
1754653651.417833,0.60764,-0.00239,0.0,-0.0842506164346081,0.6,0.0004499999999999,0.0
1754653651.4747224,0.6071,0.003,0.0,0.6708782652912818,0.6,0.0004499999999999,0.0
1754653651.517188,0.60664,0.01993,0.0,-1.5,0.6,0.02277,0.0
1754653651.5561864,0.60849,0.04972,0.0,-1.5,0.6,0.05256,0.0
1754653651.615719,0.60745,0.09083,0.0,1.0067080643494437,0.6,0.05256,0.0
1754653651.655718,0.60531,0.13833,0.0,-1.5,0.6,0.14117,0.0
1754653651.7182603,0.60543,0.18636,0.0,-1.5,0.6,0.1892,0.0
1754653651.7552505,0.60427,0.23421,0.0,-1.5,0.6,0.23705,0.0
1754653651.8167715,0.60325,0.28172,0.0,-1.5,0.6,0.28456,0.0
1754653651.8757744,0.60255,0.3265,0.0,-1.5,0.6,0.32934,0.0
1754653651.9171128,0.60255,0.3265,0.0,0.6607734273233413,0.6,0.32934,0.0
1754653651.975113,0.60255,0.3265,0.0,0.6654829184474945,0.6,0.32934,0.0
1754653652.0356536,0.59965,0.43679,0.0,0.6703172758426665,0.6,0.32934,0.0
1754653652.075652,0.59965,0.43679,0.0,0.4406327943012713,0.6,0.43963,0.0
1754653652.1392305,0.59965,0.43679,0.0,0.4437150245325565,0.6,0.43963,0.0
1754653652.175653,0.59648,0.52223,0.0,0.4454649381837844,0.6,0.43963,0.0
1754653652.2379746,0.59543,0.55016,0.0,-1.5,0.6,0.5529999999999999,0.0
1754653652.2757142,0.59477,0.57513,0.0,-1.5,0.6,0.57797,0.0
1754653652.3356624,0.59464,0.59485,0.0,0.1158500160262585,0.6,0.5976899999999999,0.0
1754653652.3749497,0.59393,0.60702,0.0,0.1158500160262585,0.6,0.5976899999999999,0.0
1754653652.4397595,0.59349,0.61177,0.0,0.1158500160262585,0.6,0.5976899999999999,0.0
1754653652.4959896,0.59214,0.60674,0.0,0.1158500160262585,0.6,0.5976899999999999,0.0
1754653652.5559108,0.59225,0.60293,0.0,0.1158500160262585,0.6,0.5976899999999999,0.0
1754653652.5948858,0.59235,0.60046,0.0,0.1158500160262585,0.6,0.5976899999999999,0.0
1754653652.6549096,0.592,0.6002,0.0,0.1158500160262585,0.6,0.5976899999999999,0.0
1754653652.694898,0.59326,0.60114,0.0,0.1158500160262585,0.6,0.5976899999999999,0.0
1754653652.7549412,0.59343,0.60284,0.0,0.1158500160262585,0.6,0.5976899999999999,0.0
1754653652.7952082,0.59274,0.60443,0.0,0.1158500160262585,0.6,0.5976899999999999,0.0
1754653652.8549123,0.59226,0.60543,0.0,0.1158500160262585,0.6,0.5976899999999999,0.0
1754653652.8955753,0.59226,0.60532,0.0,0.1158500160262585,0.6,0.5976899999999999,0.0
1754653652.9558604,0.59282,0.60435,0.0,0.1158500160262585,0.6,0.5976899999999999,0.0
1754653652.9949064,0.59321,0.60319,0.0,0.1158500160262585,0.6,0.5976899999999999,0.0
1754653653.055471,0.59357,0.60209,0.0,0.1158500160262585,0.6,0.5976899999999999,0.0
1754653653.0951178,0.59401,0.60131,0.0,0.1158500160262585,0.6,0.5976899999999999,0.0
