time,x,y,z,pid_output,target_distance,relative_position,action
1754818450.6185675,0.0,0.0,0.0,,,,
1754818450.6765869,-1e-05,3e-05,0.0,,,,
1754818450.7170467,-1e-05,4e-05,0.0,,,,
1754818450.7775815,-3e-05,7e-05,0.0,,,,
1754818450.8182955,-3e-05,9e-05,0.0,,,,
1754818450.8767426,-4e-05,9e-05,0.0,,,,
1754818450.9187348,-3e-05,7e-05,0.0,,,,
1754818450.9777706,-2e-05,9e-05,0.0,,,,
1754818451.017339,-2e-05,0.00011,0.0,,,,
1754818451.0789177,-3e-05,8e-05,0.0,,,,
1754818451.123912,-3e-05,5e-05,0.0,,,,
1754818451.1896029,-3e-05,6e-05,0.0,,,,
1754818451.2256355,-2e-05,6e-05,0.0,,,,
1754818451.2766185,-1e-05,3e-05,0.0,,,,
1754818451.3171601,0.0,2e-05,0.0,,,,
1754818451.38028,1e-05,3e-05,0.0,,,,
1754818451.4169786,-0.0,3e-05,0.0,,,,
1754818451.4767623,0.0,2e-05,0.0,,,,
1754818451.5167153,0.0,1e-05,0.0,,,,
1754818451.5776005,2e-05,0.0,0.0,,,,
1754818451.6386323,2e-05,2e-05,0.0,,,,
1754818451.6771877,1e-05,3e-05,0.0,,,,
1754818451.7384276,1e-05,5e-05,0.0,,,,
1754818451.7767792,1e-05,5e-05,0.0,,,,
1754818451.8379714,-1e-05,6e-05,0.0,,,,
1754818451.8767607,-4e-05,0.0,0.0,,,,
1754818451.9373384,-3e-05,1e-05,0.0,,,,
1754818451.9789069,-2e-05,1e-05,0.0,,,,
1754818452.0395555,-2e-05,0.0,0.0,,,,
1754818452.077764,-2e-05,0.0,0.0,,,,
1754818452.1376972,-2e-05,-1e-05,0.0,,,,
1754818452.1777227,-2e-05,-0.0,0.0,,,,
1754818452.2390351,-1e-05,-1e-05,0.0,,,,
1754818452.2817082,-2e-05,-0.0,0.0,,,,
1754818452.3385925,-2e-05,2e-05,0.0,,,,
1754818452.3767564,-3e-05,-1e-05,0.0,,,,
1754818452.4370208,-3e-05,-3e-05,0.0,,,,
1754818452.4972622,-5e-05,-0.0,0.0,,,,
1754818452.5376577,-4e-05,2e-05,0.0,,,,
1754818452.597121,-4e-05,-2e-05,0.0,,,,
1754818452.6393998,-4e-05,-4e-05,0.0,,,,
1754818452.6970148,-4e-05,-4e-05,0.0,,,,
1754818452.7380466,-3e-05,-4e-05,0.0,,,,
1754818452.7973073,-4e-05,-3e-05,0.0,,,,
1754818452.8369129,-5e-05,2e-05,0.0,,,,
1754818452.8968427,-5e-05,1e-05,0.0,,,,
1754818452.9374979,-2e-05,2e-05,0.0,,,,
1754818452.9968972,-1e-05,3e-05,0.0,,,,
1754818453.0376391,-1e-05,4e-05,0.0,,,,
1754818453.0980492,-1e-05,4e-05,0.0,,,,
1754818453.1588757,-0.0,3e-05,0.0,,,,
1754818453.1972766,-0.0,4e-05,0.0,,,,
1754818453.2570162,-1e-05,2e-05,0.0,,,,
1754818453.2986047,-1e-05,2e-05,0.0,,,,
1754818453.3582706,-1e-05,2e-05,0.0,,,,
1754818453.396452,-1e-05,0.0,0.0,,,,
1754818453.4573524,-1e-05,-1e-05,0.0,,,,
1754818453.4970117,-1e-05,-1e-05,0.0,,,,
1754818453.5576205,-2e-05,1e-05,0.0,,,,
1754818453.624542,-3e-05,2e-05,0.0,,,,
1754818453.6785738,-2e-05,2e-05,0.0,,,,
1754818453.7180967,-2e-05,3e-05,0.0,,,,
1754818453.7771168,-1e-05,2e-05,0.0,,,,
1754818453.8226576,-3e-05,-0.0,0.0,,,,
1754818453.8776858,-5e-05,0.0,0.0,,,,
1754818453.9200325,-5e-05,1e-05,0.0,,,,
1754818453.9770331,-4e-05,1e-05,0.0,,,,
1754818454.0176003,-3e-05,2e-05,0.0,,,,
1754818454.0786102,-2e-05,2e-05,0.0,,,,
1754818454.1391444,-3e-05,-2e-05,0.0,,,,
1754818454.1771533,-3e-05,2e-05,0.0,,,,
1754818454.238303,-3e-05,2e-05,0.0,,,,
1754818454.2858412,-3e-05,4e-05,0.0,,,,
1754818454.3388298,-3e-05,5e-05,0.0,,,,
1754818454.3778632,-3e-05,3e-05,0.0,,,,
1754818454.443399,-2e-05,3e-05,0.0,,,,
1754818454.47842,-1e-05,2e-05,0.0,,,,
1754818454.5404744,-1e-05,-1e-05,0.0,,,,
1754818454.578475,-1e-05,-1e-05,0.0,,,,
1754818454.637162,-2e-05,-2e-05,0.0,,,,
1754818454.677734,-2e-05,-0.0,0.0,,,,
1754818454.737659,-4e-05,-1e-05,0.0,,,,
1754818454.776741,-3e-05,-2e-05,0.0,,,,
1754818454.8385174,-2e-05,-3e-05,0.0,,,,
1754818454.8817453,-2e-05,-4e-05,0.0,,,,
1754818454.938126,-2e-05,-4e-05,0.0,,,,
1754818454.9791486,-1e-05,-1e-05,0.0,,,,
1754818455.0379648,-1e-05,-2e-05,0.0,,,,
1754818455.0783362,-0.0,-1e-05,0.0,,,,
1754818455.1380277,0.0,-1e-05,0.0,,,,
1754818455.1975503,2e-05,-1e-05,0.0,,,,
1754818455.2373703,1e-05,-4e-05,0.0,,,,
1754818455.297094,0.0,-2e-05,0.0,,,,
1754818455.3386476,-1e-05,-1e-05,0.0,,,,
1754818455.396867,-1e-05,-3e-05,0.0,,,,
1754818455.4377844,-2e-05,-5e-05,0.0,,,,
1754818455.499357,-3e-05,-5e-05,0.0,,,,
1754818455.536868,-3e-05,-5e-05,0.0,,,,
1754818455.599965,-3e-05,-2e-05,0.0,,,,
1754818455.6368623,-4e-05,-1e-05,0.0,,,,
1754818455.7024322,-2e-05,-2e-05,0.0,,,,
1754818455.7584364,-2e-05,-0.0,0.0,,,,
1754818455.8029914,-2e-05,2e-05,0.0,,,,
1754818455.8569868,-1e-05,-5e-05,0.0,,,,
1754818455.898599,-1e-05,-4e-05,0.0,,,,
1754818455.956664,-0.0,-3e-05,0.0,,,,
1754818455.99693,-0.0,-3e-05,0.0,,,,
1754818456.056721,-1e-05,-3e-05,0.0,,,,
1754818456.1013515,1e-05,-3e-05,0.0,,,,
1754818456.1572073,1e-05,-4e-05,0.0,,,,
1754818456.2169175,1e-05,-3e-05,0.0,,,,
1754818456.2569764,-1e-05,-1e-05,0.0,,,,
1754818456.3172517,-1e-05,-1e-05,0.0,,,,
1754818456.357351,1e-05,-0.0,0.0,,,,
1754818456.4167953,1e-05,1e-05,0.0,,,,
1754818456.461907,2e-05,1e-05,0.0,,,,
1754818456.512827,2e-05,0.0,0.0,,,,
1754818456.5511818,2e-05,2e-05,0.0,,,,
1754818456.6114318,1e-05,3e-05,0.0,,,,
1754818456.6579018,0.0,3e-05,0.0,,,,
1754818456.717104,1e-05,5e-05,0.0,,,,
1754818456.7559047,-0.0,2e-05,0.0,,,,
1754818456.8175838,-1e-05,6e-05,0.0,,,,
1754818456.8517365,-2e-05,4e-05,0.0,,,,
1754818456.9179642,-2e-05,6e-05,0.0,,,,
1754818456.9757576,-2e-05,8e-05,0.0,,,,
1754818457.0185795,-2e-05,0.0001,0.0,,,,
1754818457.0773628,-3e-05,0.0001,0.0,,,,
1754818457.11478,-3e-05,8e-05,0.0,,,,
1754818457.1759744,-1e-05,0.0001,0.0,,,,
1754818457.2111986,-1e-05,9e-05,0.0,,,,
1754818457.2767498,-1e-05,8e-05,0.0,,,,
1754818457.31759,-1e-05,7e-05,0.0,,,,
1754818457.3764522,-2e-05,5e-05,0.0,,,,
1754818457.4358451,-3e-05,2e-05,0.0,,,,
1754818457.476223,-3e-05,1e-05,0.0,,,,
1754818457.5342464,-3e-05,1e-05,0.0,,,,
1754818457.5767334,-4e-05,1e-05,0.0,,,,
1754818457.6342134,-3e-05,2e-05,0.0,,,,
1754818457.6766222,-3e-05,3e-05,0.0,,,,
1754818457.7342541,-3e-05,3e-05,0.0,,,,
1754818457.7771397,-4e-05,-0.0,0.0,,,,
1754818457.834352,-3e-05,1e-05,0.0,,,,
1754818457.8772457,-1e-05,3e-05,0.0,,,,
1754818457.9364,-2e-05,1e-05,0.0,,,,
1754818457.9766767,-1e-05,-0.0,0.0,,,,
1754818458.0262194,-2e-05,-6e-05,0.0,,,,
1754818458.0935295,-2e-05,-6e-05,0.0,,,,
1754818458.1359239,-2e-05,-8e-05,0.0,,,,
1754818458.1942546,-3e-05,-5e-05,0.0,,,,
1754818458.2341614,-2e-05,-6e-05,0.0,,,,
1754818458.2959065,-1e-05,-3e-05,0.0,,,,
1754818458.3342092,-0.0,-0.0,0.0,,,,
1754818458.396832,1e-05,-2e-05,0.0,,,,
1754818458.4341614,1e-05,-2e-05,0.0,,,,
1754818458.496955,3e-05,4e-05,0.0,,,,
1754818458.5581527,3e-05,5e-05,0.0,,,,
1754818458.598826,2e-05,5e-05,0.0,,,,
1754818458.65728,2e-05,3e-05,0.0,,,,
1754818458.698457,2e-05,3e-05,0.0,,,,
1754818458.7579203,2e-05,5e-05,0.0,,,,
1754818458.7974677,0.0,4e-05,0.0,,,,
1754818458.8571248,0.0,4e-05,0.0,,,,
1754818458.9176462,0.0,7e-05,0.0,,,,
1754818458.9570103,0.0,6e-05,0.0,,,,
1754818459.0173416,0.0,9e-05,0.0,,,,
1754818459.057427,2e-05,4e-05,0.0,,,,
1754818459.1173325,4e-05,4e-05,0.0,,,,
1754818459.1577475,3e-05,5e-05,0.0,,,,
1754818459.217539,3e-05,5e-05,0.0,,,,
1754818459.2775407,3e-05,7e-05,0.0,,,,
1754818459.3171074,2e-05,6e-05,0.0,,,,
1754818459.3775358,1e-05,6e-05,0.0,,,,
1754818459.41748,2e-05,2e-05,0.0,,,,
1754818459.477594,1e-05,2e-05,0.0,,,,
1754818459.5176086,1e-05,-1e-05,0.0,,,,
1754818459.5769846,2e-05,-1e-05,0.0,,,,
1754818459.6175392,1e-05,-1e-05,0.0,,,,
1754818459.6774993,-0.0,2e-05,0.0,,,,
1754818459.7174277,-1e-05,1e-05,0.0,,,,
1754818459.7766402,-1e-05,-2e-05,0.0,,,,
1754818459.8374214,-1e-05,-3e-05,0.0,,,,
1754818459.877021,-0.0,-1e-05,0.0,,,,
1754818459.9371388,-1e-05,-1e-05,0.0,,,,
1754818459.977779,-0.0,-2e-05,0.0,,,,
1754818460.0365055,-1e-05,-0.0,0.0,,,,
1754818460.0783086,0.0,5e-05,0.0,,,,
1754818460.1378603,0.0,6e-05,0.0,,,,
1754818460.1974158,1e-05,6e-05,0.0,,,,
1754818460.237904,1e-05,6e-05,0.0,,,,
1754818460.2975707,0.0,2e-05,0.0,,,,
1754818460.3377867,1e-05,3e-05,0.0,,,,
1754818460.3974323,2e-05,4e-05,0.0,,,,
1754818460.437366,2e-05,4e-05,0.0,,,,
1754818460.4969923,1e-05,5e-05,0.0,,,,
1754818460.5373116,1e-05,8e-05,0.0,,,,
1754818460.5983818,1e-05,7e-05,0.0,,,,
1754818460.6587212,3e-05,6e-05,0.0,,,,
1754818460.697203,5e-05,5e-05,0.0,,,,
1754818460.7589178,4e-05,5e-05,0.0,,,,
1754818460.7974951,4e-05,4e-05,0.0,,,,
1754818460.8599954,4e-05,1e-05,0.0,,,,
1754818460.8980298,4e-05,1e-05,0.0,,,,
1754818460.962572,4e-05,1e-05,0.0,,,,
1754818460.9996216,5e-05,2e-05,0.0,,,,
1754818461.0596163,4e-05,3e-05,0.0,,,,
1754818461.099297,2e-05,5e-05,0.0,,,,
1754818461.1598587,2e-05,6e-05,0.0,,,,
1754818461.2324326,2e-05,8e-05,0.0,,,,
1754818461.2704308,1e-05,0.00012,0.0,,,,
1754818461.3180285,0.0,0.00011,0.0,,,,
1754818461.362014,0.0,0.0001,0.0,,,,
1754818461.4185534,1e-05,9e-05,0.0,,,,
1754818461.457554,2e-05,0.00012,0.0,,,,
1754818461.518136,1e-05,0.00013,0.0,,,,
1754818461.5581105,2e-05,0.00011,0.0,,,,
1754818461.6186078,2e-05,0.00011,0.0,,,,
1754818461.6776147,3e-05,0.00011,0.0,,,,
1754818461.7213356,4e-05,0.00012,0.0,,,,
1754818461.7789824,3e-05,0.0001,0.0,,,,
1754818461.8194172,4e-05,9e-05,0.0,,,,
1754818461.8795424,3e-05,6e-05,0.0,,,,
1754818461.9208724,3e-05,7e-05,0.0,,,,
1754818461.979999,2e-05,2e-05,0.0,,,,
1754818462.0190904,2e-05,1e-05,0.0,,,,
1754818462.0780952,2e-05,3e-05,0.0,,,,
1754818462.1182578,2e-05,2e-05,0.0,,,,
1754818462.1782463,3e-05,3e-05,0.0,,,,
1754818462.238393,3e-05,2e-05,0.0,,,,
1754818462.277397,3e-05,4e-05,0.0,,,,
1754818462.3376408,3e-05,3e-05,0.0,,,,
1754818462.3786457,2e-05,3e-05,0.0,,,,
1754818462.438102,2e-05,4e-05,0.0,,,,
1754818462.4975345,2e-05,3e-05,0.0,,,,
1754818462.537865,2e-05,2e-05,0.0,,,,
1754818462.599187,2e-05,0.0,0.0,,,,
1754818462.6377325,2e-05,-1e-05,0.0,,,,
1754818462.6978421,4e-05,-1e-05,0.0,,,,
1754818462.7370565,2e-05,-1e-05,0.0,,,,
1754818462.797634,2e-05,1e-05,0.0,,,,
1754818462.8376539,1e-05,1e-05,0.0,,,,
1754818462.8969076,1e-05,-4e-05,0.0,,,,
1754818462.9374354,2e-05,-5e-05,0.0,,,,
1754818462.9970374,2e-05,-5e-05,0.0,,,,
1754818463.0385144,2e-05,-5e-05,0.0,,,,
1754818463.0999944,1e-05,-2e-05,0.0,,,,
1754818463.1572351,0.0,-5e-05,0.0,,,,
1754818463.197144,0.0,-6e-05,0.0,,,,
1754818463.257446,0.0,-4e-05,0.0,,,,
1754818463.2969458,1e-05,-3e-05,0.0,,,,
1754818463.3577778,1e-05,-3e-05,0.0,,,,
1754818463.4184089,2e-05,-4e-05,0.0,,,,
1754818463.4664083,1e-05,-3e-05,0.0,,,,
1754818463.5181038,2e-05,-3e-05,0.0,,,,
1754818463.558077,2e-05,1e-05,0.0,,,,
1754818463.6178985,2e-05,-2e-05,0.0,,,,
1754818463.659466,2e-05,-3e-05,0.0,,,,
1754818463.7172542,0.0,-4e-05,0.0,,,,
1754818463.7774618,1e-05,-4e-05,0.0,,,,
1754818463.8176174,3e-05,-3e-05,0.0,,,,
1754818463.8772,2e-05,-2e-05,0.0,,,,
1754818463.9176931,2e-05,-1e-05,0.0,,,,
1754818463.9767401,2e-05,-1e-05,0.0,,,,
1754818464.0193572,3e-05,1e-05,0.0,,,,
1754818464.0773573,4e-05,0.0,0.0,,,,
1754818464.117611,3e-05,1e-05,0.0,,,,
1754818464.1777363,2e-05,1e-05,0.0,,,,
1754818464.216583,1e-05,-2e-05,0.0,,,,
1754818464.2777627,1e-05,-1e-05,0.0,,,,
1754818464.319745,-0.0,1e-05,0.0,,,,
1754818464.377387,0.0,2e-05,0.0,,,,
1754818464.4170437,1e-05,2e-05,0.0,,,,
1754818464.4771836,2e-05,0.0,0.0,,,,
1754818464.5193686,2e-05,-1e-05,0.0,,,,
1754818464.577495,1e-05,1e-05,0.0,,,,
1754818464.6369607,2e-05,0.0,0.0,,,,
1754818464.6976619,1e-05,-1e-05,0.0,,,,
1754818464.7386794,2e-05,-3e-05,0.0,,,,
1754818464.797323,3e-05,-0.0,0.0,,,,
1754818464.8368397,3e-05,-4e-05,0.0,,,,
1754818464.897203,1e-05,-6e-05,0.0,,,,
1754818464.9372,2e-05,-4e-05,0.0,,,,
1754818464.9970987,1e-05,-1e-05,0.0,,,,
1754818465.0573993,1e-05,1e-05,0.0,,,,
1754818465.099778,0.0,4e-05,0.0,,,,
1754818465.1574576,-1e-05,2e-05,0.0,,,,
1754818465.1980023,-2e-05,4e-05,0.0,,,,
1754818465.2571106,-3e-05,5e-05,0.0,,,,
1754818465.2980165,-4e-05,4e-05,0.0,,,,
1754818465.357512,-4e-05,4e-05,0.0,,,,
1754818465.397489,-4e-05,4e-05,0.0,,,,
1754818465.457522,-4e-05,5e-05,0.0,,,,
1754818465.4978242,-3e-05,3e-05,0.0,,,,
1754818465.5575044,-3e-05,4e-05,0.0,,,,
1754818465.6179526,-4e-05,5e-05,0.0,,,,
1754818465.6581836,-5e-05,3e-05,0.0,,,,
1754818465.7179897,-5e-05,1e-05,0.0,,,,
1754818465.7584863,-5e-05,-1e-05,0.0,,,,
1754818465.8183365,-5e-05,1e-05,0.0,,,,
1754818465.8569815,-5e-05,1e-05,0.0,,,,
1754818465.9177735,-5e-05,3e-05,0.0,,,,
1754818465.9581861,-4e-05,2e-05,0.0,,,,
1754818466.0188098,-5e-05,4e-05,0.0,,,,
1754818466.0583587,-4e-05,4e-05,0.0,,,,
1754818466.119006,-5e-05,6e-05,0.0,,,,
1754818466.1786642,-5e-05,6e-05,0.0,,,,
1754818466.2395706,-5e-05,3e-05,0.0,,,,
1754818466.2784202,-4e-05,5e-05,0.0,,,,
1754818466.3381395,-4e-05,4e-05,0.0,,,,
1754818466.3781376,-4e-05,6e-05,0.0,,,,
1754818466.43923,-4e-05,8e-05,0.0,,,,
1754818466.478199,-5e-05,8e-05,0.0,,,,
