time,x,y,z,pid_output,target_distance,relative_position
1754643412.1658566,0.0,0.0,0.0,,,
1754643412.2260625,-3e-05,-1e-05,0.0,,,
1754643412.2850535,-4e-05,-1e-05,0.0,,,
1754643412.3399193,-2e-05,3e-05,0.0,,,
1754643412.385111,1e-05,3e-05,0.0,,,
1754643412.4452906,1e-05,5e-05,0.0,,,
1754643412.485093,-0.0,6e-05,0.0,,,
1754643412.5426626,-3e-05,5e-05,0.0,,,
1754643412.5749323,-3e-05,8e-05,0.0,,,
1754643412.6259382,-2e-05,8e-05,0.0,1.0802725124359132,0.6,0.0
1754643412.690269,-1e-05,9e-05,0.0,1.0737627689400768,0.6,1.9999999999999998e-05
1754643412.7483187,0.00016,0.0001,0.0,1.1022644554588794,0.6,1.9999999999999998e-05
1754643412.7983286,0.00276,0.00029,0.0,1.1062773987522125,0.6,0.00279
1754643412.8415103,0.01288,0.00182,0.0,1.1140139541070462,0.6,0.00279
1754643412.9066563,0.07241,0.0026,0.0,1.10581509156847,0.6,0.012910000000000001
1754643412.9677272,0.07241,0.0026,0.0,1.0094517794051172,0.6,0.07244
1754643413.0071828,0.16663,0.00986,0.0,-168.76219586805806,0.6,0.16666
1754643413.0694084,0.21689,0.01386,0.0,-59.095819364400896,0.6,0.21692
1754643413.1238596,0.26621,0.01679,0.0,0.6813081167807579,0.6,0.26624
1754643413.183455,0.31212,0.01903,0.0,0.6046372796301841,0.6,0.31215
1754643413.2477486,0.35244,0.02097,0.0,0.5376133554418088,0.6,0.35246999999999995
1754643413.3274078,0.41393,0.02482,0.0,0.5435287697238923,0.6,0.35246999999999995
1754643413.3657906,0.43664,0.02639,0.0,0.43498898880672454,0.6,0.41396
1754643413.427306,0.45622,0.0283,0.0,0.39712517852354057,0.6,0.43666999999999995
1754643413.466353,0.47399,0.02964,0.0,-23.312948353959175,0.6,0.47402
1754643413.5281432,0.49024,0.03085,0.0,0.3338875161473751,0.6,0.47402
1754643413.5816653,0.50595,0.03207,0.0,0.27813852806711203,0.6,0.50598
1754643413.6247656,0.52098,0.03301,0.0,0.2793542167382241,0.6,0.50598
1754643413.6870034,0.52098,0.03301,0.0,0.2537750644526483,0.6,0.52101
1754643413.7464266,0.54893,0.03519,0.0,0.2551594983365537,0.6,0.52101
1754643413.8064275,0.56136,0.03608,0.0,-22.20824820402072,0.6,0.56139
1754643413.8489509,0.57285,0.0369,0.0,-20.525222794916886,0.6,0.57288
1754643413.9089525,0.59282,0.0381,0.0,-35.795172383134926,0.6,0.59285
1754643417.666019,0.0,0.0,0.0,-35.795172383134926,0.6,0.59285
1754643417.7367008,0.00022,3e-05,0.0,-35.795172383134926,0.6,0.59285
1754643417.8065538,0.00052,0.0,0.0,-35.795172383134926,0.6,0.59285
1754643417.847441,0.00079,-0.00024,0.0,-35.795172383134926,0.6,0.59285
1754643417.905601,0.00111,-0.00042,0.0,-35.795172383134926,0.6,0.59285
1754643417.9487472,0.00111,-0.00068,0.0,-35.795172383134926,0.6,0.59285
1754643418.0054934,0.00112,-0.00089,0.0,-35.795172383134926,0.6,0.59285
1754643418.0667622,0.00123,-0.00086,0.0,-35.795172383134926,0.6,0.59285
1754643418.1056683,0.00146,-0.00083,0.0,-35.795172383134926,0.6,0.59285
1754643418.1663983,0.00166,-0.00065,0.0,0.9234438169037,0.6,0.00018000000000000004
1754643418.2063959,0.00193,-0.0002,0.0,0.2776883047095373,0.6,0.00063
1754643418.2869334,0.00204,0.00211,0.0,1.1019667431464195,0.6,0.00294
1754643418.32694,0.00172,0.01103,0.0,1.1093122695336342,0.6,0.00294
1754643418.389466,0.00035,0.03348,0.0,-39.465196509554,0.6,0.03431
1754643418.448662,-0.00072,0.06672,0.0,-58.49591370276921,0.6,0.06755
1754643418.4866588,-0.00525,0.11003,0.0,1.0199788120737077,0.6,0.06755
1754643418.5487735,-0.00931,0.1575,0.0,0.951134844988346,0.6,0.11086
1754643418.6067703,-0.01273,0.20614,0.0,0.8733747991533279,0.6,0.15833
1754643418.6663048,-0.01593,0.25449,0.0,-86.12336102037169,0.6,0.25532
1754643418.7063026,-0.02256,0.34313,0.0,0.5503958839724065,0.6,0.34396
1754643418.7678485,-0.02591,0.38082,0.0,-67.21428832347911,0.6,0.38165
1754643418.8298588,-0.02867,0.41368,0.0,0.49134298777771007,0.6,0.38165
1754643418.8871372,-0.03113,0.4397,0.0,0.3885467035567762,0.6,0.44053
1754643418.9496722,-0.03281,0.45932,0.0,-34.96229562762271,0.6,0.46015
1754643418.986674,-0.03427,0.47383,0.0,-25.738470366429116,0.6,0.47465999999999997
1754643419.0492105,-0.03571,0.48603,0.0,0.3340080763857364,0.6,0.47465999999999997
1754643419.1062052,-0.03571,0.48603,0.0,0.31401662634730326,0.6,0.48686
1754643419.1687603,-0.03781,0.51253,0.0,0.26840585022854774,0.6,0.51336
1754643419.2067578,-0.0404,0.54553,0.0,0.26936759607052774,0.6,0.51336
1754643419.2662923,-0.04182,0.56331,0.0,0.21095778085541705,0.6,0.54636
1754643419.3262968,-0.04283,0.58001,0.0,-29.86969862211647,0.6,0.58084
1754643423.1089203,0.0,0.0,0.0,-29.86969862211647,0.6,0.58084
1754643423.1492522,0.00171,0.00027,0.0,-29.86969862211647,0.6,0.58084
1754643423.2091873,0.0022,0.0005,0.0,-29.86969862211647,0.6,0.58084
1754643423.2692614,0.00236,0.00071,0.0,-29.86969862211647,0.6,0.58084
1754643423.3286667,0.00222,0.00057,0.0,-29.86969862211647,0.6,0.58084
1754643423.3887186,0.00213,0.00045,0.0,-29.86969862211647,0.6,0.58084
1754643423.429201,0.00225,0.00013,0.0,-29.86969862211647,0.6,0.58084
1754643423.4894698,0.00241,-6e-05,0.0,-29.86969862211647,0.6,0.58084
1754643423.5294027,0.00258,-0.00016,0.0,-29.86969862211647,0.6,0.58084
1754643423.5895884,0.00273,-0.00021,0.0,0.951332367849756,0.6,0.00014999999999999996
1754643423.6491141,0.00291,-0.00012,0.0,0.7730636115064404,0.6,0.00033
1754643423.6893878,0.00234,-0.00027,0.0,1.1038433545396327,0.6,0.00033
1754643423.7489254,-0.0026,-0.00128,0.0,1.1148981457192897,0.6,0.00023999999999999976
1754643423.7899287,-0.01795,-0.004,0.0,-26.53990665400414,0.6,0.02053
1754643423.8494563,-0.04671,-0.00696,0.0,-50.653537250036244,0.6,0.04929
1754643423.9094613,-0.08521,-0.01265,0.0,-68.12243380122794,0.6,0.08778999999999999
1754643423.950002,-0.13233,-0.01922,0.0,-84.03756621213141,0.6,0.13491
1754643424.0090003,-0.18086,-0.02432,0.0,0.9144747143018246,0.6,0.13491
1754643424.0495403,-0.22974,-0.02891,0.0,0.8320618959825039,0.6,0.18344
1754643424.1095407,-0.27734,-0.03431,0.0,-85.04153375470692,0.6,0.27992
1754643424.1750908,-0.36315,-0.04294,0.0,0.6713099789750575,0.6,0.27992
1754643424.2100801,-0.39795,-0.04678,0.0,-62.09838699679243,0.6,0.40053000000000005
1754643424.2705834,-0.42713,-0.05009,0.0,-40.01454358913381,0.6,0.42971000000000004
1754643424.310289,-0.45074,-0.05262,0.0,0.40977834391951534,0.6,0.42971000000000004
1754643424.37311,-0.46858,-0.05474,0.0,-31.53318085733527,0.6,0.47116
1754643424.4382272,-0.48209,-0.05662,0.0,0.3404884509408471,0.6,0.47116
1754643424.4902265,-0.49296,-0.05774,0.0,0.2983690287795064,0.6,0.49554000000000004
1754643424.549319,-0.50378,-0.0591,0.0,0.3002208179225919,0.6,0.49554000000000004
1754643424.609316,-0.51692,-0.06031,0.0,0.2824303028268812,0.6,0.50636
1754643424.6498642,-0.53216,-0.06205,0.0,-27.254097562507567,0.6,0.53474
1754643424.7098572,-0.53216,-0.06205,0.0,0.23349543313980087,0.6,0.53474
1754643424.7714012,-0.58098,-0.06734,0.0,-87.69365171358142,0.6,0.5835600000000001
1754643428.531012,0.0,0.0,0.0,-87.69365171358142,0.6,0.5835600000000001
1754643428.5898547,0.00011,-0.00013,0.0,-87.69365171358142,0.6,0.5835600000000001
1754643428.6321309,0.00029,-0.00028,0.0,-87.69365171358142,0.6,0.5835600000000001
1754643428.6896565,0.00024,-0.00032,0.0,-87.69365171358142,0.6,0.5835600000000001
1754643428.7325175,0.00012,-0.00024,0.0,-87.69365171358142,0.6,0.5835600000000001
1754643428.788935,5e-05,-0.00025,0.0,-87.69365171358142,0.6,0.5835600000000001
1754643428.8496938,-0.00017,-0.00015,0.0,-87.69365171358142,0.6,0.5835600000000001
1754643428.889018,-0.00013,-0.00022,0.0,-87.69365171358142,0.6,0.5835600000000001
1754643428.9495454,-4e-05,-0.00014,0.0,-87.69365171358142,0.6,0.5835600000000001
1754643429.0123003,6e-05,-0.00016,0.0,1.081980414390564,0.6,0.0
1754643429.0498266,3e-05,-5e-05,0.0,0.962864128827612,0.6,8.999999999999999e-05
1754643429.1098275,6e-05,-0.00078,0.0,1.0993716057486533,0.6,8.999999999999999e-05
1754643429.1503794,0.00118,-0.00595,0.0,1.1056737192435264,0.6,0.0006399999999999999
1754643429.2093835,0.00334,-0.02176,0.0,-27.43585297503129,0.6,0.02162
1754643429.2706192,0.00658,-0.05049,0.0,1.0890528930959702,0.6,0.02162
1754643429.3316276,0.013,-0.08934,0.0,1.04739852818799,0.6,0.05035
1754643429.370144,0.02001,-0.1346,0.0,-80.1660969674631,0.6,0.13446
1754643429.4321454,0.02628,-0.18243,0.0,0.9105478363344668,0.6,0.13446
1754643429.4896655,0.03263,-0.23069,0.0,-86.02594511480373,0.6,0.23055
1754643429.5489545,0.03946,-0.27842,0.0,0.7514763510825633,0.6,0.23055
1754643429.5899477,0.04595,-0.32321,0.0,-80.1351979926001,0.6,0.32307
1754643429.6500287,0.05132,-0.36311,0.0,-71.38889362015685,0.6,0.36297
1754643429.7093427,0.05613,-0.39742,0.0,-61.28326120661859,0.6,0.39728
1754643429.768876,0.06267,-0.44684,0.0,0.4681129931287765,0.6,0.39728
1754643429.8298903,0.0654,-0.46467,0.0,-31.746462631152788,0.6,0.46453000000000005
1754643429.8902209,0.06784,-0.48041,0.0,0.35227489704895004,0.6,0.46453000000000005
1754643429.949751,0.06998,-0.4956,0.0,0.3260811130099295,0.6,0.48027000000000003
1754643429.9897487,0.07176,-0.51046,0.0,0.2732455992908477,0.6,0.51032
1754643430.0500085,0.07386,-0.52556,0.0,-26.901920678128192,0.6,0.52542
1754643430.110007,0.07611,-0.54104,0.0,0.24902468395471558,0.6,0.52542
1754643430.150206,0.0784,-0.55617,0.0,0.22187347213840478,0.6,0.5408999999999999
1754643430.2102067,0.08036,-0.57018,0.0,0.1954177256147857,0.6,0.55603
1754643430.2697387,0.08348,-0.59158,0.0,0.13222373663735354,0.6,0.59144
