time,x,y,z,pid_output,target_distance,relative_position
1754648189.288171,0.0,0.0,0.0,,,
1754648189.347536,-1e-05,1e-05,0.0,,,
1754648189.5077069,4e-05,0.0,0.0,,,
1754648189.5474734,1e-05,-0.0,0.0,,,
1754648189.5871923,-0.0,-3e-05,0.0,,,
1754648189.7595596,1e-05,-5e-05,0.0,0.15147736350162677,0.6,1e-05
1754648189.7682073,3e-05,-1e-05,0.0,0.1815941124478211,0.6,1e-05
1754648189.8020341,0.0,-4e-05,0.0,0.2762022685116998,0.6,0.0
1754648189.8476996,-1e-05,-8e-05,0.0,0.3732734676058985,0.6,1e-05
1754648189.9083192,0.00049,1e-05,0.0,-1.3873367117538646,0.6,0.00049
1754648190.030096,0.00487,0.00064,0.0,0.909044893301087,0.6,0.00049
1754648190.0683844,0.04659,0.00495,0.0,1.0044131777326621,0.6,0.00487
1754648190.1016734,0.08169,0.0078,0.0,0.980679904045902,0.6,0.08169
1754648190.1724534,0.11955,0.00984,0.0,-1.5,0.6,0.11955
1754648190.309254,0.15933,0.01232,0.0,1.292460631557226,0.6,0.11955
1754648190.3680274,0.33613,0.0272,0.0,0.7596943847870826,0.6,0.33613
1754648190.4099073,0.33613,0.0272,0.0,0.763009638945341,0.6,0.33613
1754648190.568133,0.41647,0.03321,0.0,0.7755349495015142,0.6,0.33613
1754648190.629413,0.52199,0.04184,0.0,-1.5,0.6,0.52199
1754648190.6714377,0.52199,0.04184,0.0,0.3151283107798099,0.6,0.52199
1754648190.8303971,0.59538,0.0482,0.0,-1.5,0.6,0.59538
1754648190.8303971,0.66614,0.05441,0.0,-1.5,0.6,0.59538
1754648190.888227,0.68738,0.05614,0.0,-1.5,0.6,0.59538
1754648190.9430988,0.69833,0.05703,0.0,-1.5,0.6,0.59538
1754648191.1059735,0.70479,0.05799,0.0,-1.5,0.6,0.59538
1754648191.148333,0.72465,0.05897,0.0,-1.5,0.6,0.59538
1754648191.1893847,0.74138,0.05981,0.0,-1.5,0.6,0.59538
1754648191.354754,0.76294,0.06141,0.0,-1.5,0.6,0.59538
1754648191.3700068,0.78646,0.0626,0.0,-1.5,0.6,0.59538
1754648191.3888962,0.82745,0.06521,0.0,-1.5,0.6,0.59538
1754648191.4429579,0.84222,0.06619,0.0,-1.5,0.6,0.59538
1754648191.489083,0.85242,0.06589,0.0,-1.5,0.6,0.59538
1754648191.6385996,0.85811,0.06645,0.0,-1.5,0.6,0.59538
1754648191.6882517,0.84941,0.06308,0.0,-1.5,0.6,0.59538
1754648191.7490807,0.84287,0.06148,0.0,-1.5,0.6,0.59538
1754648191.7886438,0.8393,0.06125,0.0,-1.5,0.6,0.59538
1754648191.8492515,0.83957,0.0622,0.0,-1.5,0.6,0.59538
1754648191.889275,0.8427,0.06414,0.0,-1.5,0.6,0.59538
1754648191.9492657,0.84737,0.06604,0.0,-1.5,0.6,0.59538
1754648191.988373,0.85159,0.06723,0.0,-1.5,0.6,0.59538
1754648192.048248,0.85422,0.06732,0.0,-1.5,0.6,0.59538
1754648192.090349,0.85485,0.06628,0.0,-1.5,0.6,0.59538
1754648192.1493423,0.85327,0.06502,0.0,-1.5,0.6,0.59538
1754648192.193111,0.8511,0.06356,0.0,-1.5,0.6,0.59538
1754648192.2493515,0.84883,0.06292,0.0,-1.5,0.6,0.59538
1754648192.3090327,0.84775,0.06313,0.0,-1.5,0.6,0.59538
1754648192.3490303,0.84777,0.0642,0.0,-1.5,0.6,0.59538
1754648192.408678,0.84873,0.06612,0.0,-1.5,0.6,0.59538
1754648192.4495041,0.85064,0.06741,0.0,-1.5,0.6,0.59538
1754648192.508787,0.85269,0.06804,0.0,-1.5,0.6,0.59538
1754648192.5693264,0.85388,0.06754,0.0,-1.5,0.6,0.59538
1754648192.6087842,0.85388,0.06754,0.0,-1.5,0.6,0.59538
1754648192.6683426,0.85225,0.06676,0.0,-1.5,0.6,0.59538
1754648192.708825,0.85225,0.06676,0.0,-1.5,0.6,0.59538
1754648192.768318,0.85104,0.06708,0.0,-1.5,0.6,0.59538
1754648192.8086143,0.85104,0.06708,0.0,-1.5,0.6,0.59538
1754648192.8684042,0.85206,0.06762,0.0,-1.5,0.6,0.59538
1754648192.908908,0.85359,0.06777,0.0,-1.5,0.6,0.59538
1754648192.9695554,0.85474,0.06829,0.0,-1.5,0.6,0.59538
1754648193.009206,0.85568,0.06799,0.0,-1.5,0.6,0.59538
1754648193.0686893,0.85585,0.06783,0.0,-1.5,0.6,0.59538
1754648193.109356,0.85466,0.06772,0.0,-1.5,0.6,0.59538
1754648193.169273,0.85373,0.06708,0.0,-1.5,0.6,0.59538
1754648193.2298381,0.85374,0.0672,0.0,-1.5,0.6,0.59538
1754648193.2692971,0.85385,0.06793,0.0,-1.5,0.6,0.59538
1754648193.3413556,0.85356,0.06822,0.0,-1.5,0.6,0.59538
1754648193.3693855,0.85416,0.06861,0.0,-1.5,0.6,0.59538
1754648193.4304838,0.85444,0.06937,0.0,-1.5,0.6,0.59538
1754648193.469708,0.8544,0.06948,0.0,-1.5,0.6,0.59538
1754648193.5304527,0.85465,0.06926,0.0,-1.5,0.6,0.59538
1754648193.569319,0.8549,0.06917,0.0,-1.5,0.6,0.59538
1754648193.6305635,0.85251,0.06944,0.0,-1.5,0.6,0.59538
1754648193.6674938,0.85135,0.06908,0.0,-1.5,0.6,0.59538
1754648193.7304366,0.85102,0.0685,0.0,-1.5,0.6,0.59538
1754648193.7831,0.85088,0.0677,0.0,-1.5,0.6,0.59538
1754648193.8297198,0.8512,0.06693,0.0,-1.5,0.6,0.59538
1754648193.883967,0.85135,0.06605,0.0,-1.5,0.6,0.59538
1754648193.9310687,0.85155,0.06527,0.0,-1.5,0.6,0.59538
1754648193.9839418,0.85174,0.06466,0.0,-1.5,0.6,0.59538
1754648194.031415,0.8517,0.06409,0.0,-1.5,0.6,0.59538
1754648194.083911,0.85157,0.06384,0.0,-1.5,0.6,0.59538
1754648194.1313121,0.85145,0.06393,0.0,-1.5,0.6,0.59538
1754648194.1838748,0.85161,0.06399,0.0,-1.5,0.6,0.59538
1754648194.2315545,0.85175,0.06413,0.0,-1.5,0.6,0.59538
1754648194.2838566,0.85188,0.06433,0.0,-1.5,0.6,0.59538
1754648194.330272,0.85205,0.06433,0.0,-1.5,0.6,0.59538
1754648194.3829744,0.85221,0.06426,0.0,-1.5,0.6,0.59538
1754648194.448765,0.8523,0.06443,0.0,-1.5,0.6,0.59538
1754648194.5007324,0.85241,0.06459,0.0,-1.5,0.6,0.59538
1754648194.549801,0.85242,0.06483,0.0,-1.5,0.6,0.59538
1754648194.6097336,0.85239,0.06486,0.0,-1.5,0.6,0.59538
1754648194.669335,0.85257,0.06484,0.0,-1.5,0.6,0.59538
1754648194.7104807,0.85274,0.06471,0.0,-1.5,0.6,0.59538
1754648194.7629862,0.85276,0.06467,0.0,-1.5,0.6,0.59538
1754648194.810362,0.85278,0.06468,0.0,-1.5,0.6,0.59538
1754648194.8587997,0.85271,0.06461,0.0,-1.5,0.6,0.59538
1754648194.9104538,0.85253,0.06446,0.0,-1.5,0.6,0.59538
1754648194.9586704,0.85215,0.06424,0.0,-1.5,0.6,0.59538
1754648195.0103657,0.85192,0.06404,0.0,-1.5,0.6,0.59538
1754648195.0702693,0.85188,0.0639,0.0,-0.006574742197802505,0.6,0.00014000000000000123
1754648195.1314924,0.85192,0.06417,0.0,0.44674229668403403,0.6,0.00014000000000000123
1754648195.170224,0.85161,0.06633,0.0,-1.5,0.6,0.0022900000000000004
1754648195.2300305,0.85023,0.07578,0.0,-1.5,0.6,0.01174
1754648195.2904906,0.84521,0.09941,0.0,0.8032769400916427,0.6,0.03537
1754648195.3308585,0.8401,0.13553,0.0,-1.5,0.6,0.07149000000000001
1754648195.3745534,0.83707,0.16523,0.0,1.01157411847063,0.6,0.07149000000000001
