time,x,y,z,pid_output,target_distance,relative_position
1754648229.081212,0.0,0.0,0.0,,,
1754648229.1387372,4e-05,1e-05,0.0,,,
1754648229.1803453,4e-05,1e-05,0.0,,,
1754648229.2397673,-1e-05,-1e-05,0.0,,,
1754648229.298177,-4e-05,-1e-05,0.0,,,
1754648229.3382256,2e-05,2e-05,0.0,,,
1754648229.3982346,7e-05,3e-05,0.0,,,
1754648229.4382508,7e-05,5e-05,0.0,,,
1754648229.4992151,4e-05,4e-05,0.0,,,
1754648229.5384636,3e-05,3e-05,0.0,,,
1754648229.5988543,4e-05,-2e-05,0.0,0.2596891457057519,0.6,1.0000000000000003e-05
1754648229.638367,5e-05,-1e-05,0.0,0.3721461728934584,0.6,2e-05
1754648229.698484,0.00074,-7e-05,0.0,0.5188499748198198,0.6,2e-05
1754648229.7383475,0.00633,0.00035,0.0,0.654606737629475,0.6,0.00071
1754648229.7985802,0.0226,0.00028,0.0,0.8185186364276215,0.6,0.0063
1754648229.8791232,0.0226,0.00028,0.0,1.0261494605556578,0.6,0.02257
1754648229.9157038,0.13473,0.01287,0.0,0.926287780830791,0.6,0.1347
1754648229.974016,0.18209,0.01808,0.0,0.9094925951104164,0.6,0.18206
1754648230.01564,0.23063,0.02304,0.0,0.9147115041565894,0.6,0.18206
1754648230.0739708,0.27836,0.02729,0.0,0.7286357205653189,0.6,0.27833
1754648230.1386123,0.32325,0.0316,0.0,-1.5,0.6,0.32322
1754648230.173994,0.36452,0.03567,0.0,0.5654064038391112,0.6,0.36449000000000004
1754648230.2388263,0.40174,0.03947,0.0,-1.5,0.6,0.40171
1754648230.2738748,0.43405,0.04277,0.0,0.49755879841470707,0.6,0.40171
1754648230.3406167,0.43405,0.04277,0.0,0.43616971279287325,0.6,0.43402
1754648230.3987057,0.43405,0.04277,0.0,0.4391546312980651,0.6,0.43402
1754648230.43883,0.50242,0.04997,0.0,0.3040897324843406,0.6,0.50239
1754648230.4989703,0.51768,0.05165,0.0,-1.5,0.6,0.51765
1754648230.542642,0.51768,0.05165,0.0,0.27640647051143635,0.6,0.51765
1754648230.6010172,0.54981,0.05502,0.0,0.2776101835720538,0.6,0.51765
1754648230.6399808,0.56742,0.05701,0.0,0.21416601982283578,0.6,0.54978
1754648230.6993244,0.58376,0.05827,0.0,-1.5,0.6,0.58373
1754648230.739152,0.59721,0.0596,0.0,-1.5,0.6,0.58373
1754648230.7992516,0.60631,0.06067,0.0,-1.5,0.6,0.58373
1754648230.855789,0.61036,0.06142,0.0,-1.5,0.6,0.58373
1754648230.8986156,0.60889,0.06086,0.0,-1.5,0.6,0.58373
1754648230.9489028,0.60564,0.0609,0.0,-1.5,0.6,0.58373
1754648230.9988875,0.60356,0.0608,0.0,-1.5,0.6,0.58373
1754648231.0484283,0.60262,0.06064,0.0,-1.5,0.6,0.58373
1754648231.0992358,0.60272,0.06074,0.0,-1.5,0.6,0.58373
1754648231.148166,0.60331,0.06082,0.0,-1.5,0.6,0.58373
1754648231.2155056,0.60401,0.06076,0.0,-1.5,0.6,0.58373
1754648231.258017,0.6046,0.06091,0.0,-1.5,0.6,0.58373
1754648231.3155355,0.6051,0.06098,0.0,-1.5,0.6,0.58373
1754648231.3587825,0.60502,0.06016,0.0,-1.5,0.6,0.58373
1754648231.4182582,0.60498,0.0598,0.0,-1.5,0.6,0.58373
1754648231.4582381,0.60461,0.05956,0.0,-1.5,0.6,0.58373
1754648231.5192664,0.60416,0.05939,0.0,-1.5,0.6,0.58373
1754648231.5582473,0.60366,0.05881,0.0,-1.5,0.6,0.58373
1754648231.6071754,0.60316,0.05862,0.0,-1.5,0.6,0.58373
1754648231.6582527,0.60323,0.05932,0.0,-1.5,0.6,0.58373
1754648231.7192843,0.60403,0.05984,0.0,-1.5,0.6,0.58373
1754648231.7590141,0.60501,0.05992,0.0,-1.5,0.6,0.58373
1754648231.8192885,0.60582,0.05979,0.0,-1.5,0.6,0.58373
1754648231.8582363,0.60644,0.06032,0.0,-1.5,0.6,0.58373
1754648231.9181805,0.60584,0.06078,0.0,-1.5,0.6,0.58373
1754648231.9583051,0.60454,0.06119,0.0,-1.5,0.6,0.58373
1754648232.019317,0.60454,0.06119,0.0,-1.5,0.6,0.58373
1754648232.0584364,0.60508,0.06145,0.0,-1.5,0.6,0.58373
1754648232.1193209,0.60581,0.06121,0.0,-1.5,0.6,0.58373
1754648232.1783485,0.60662,0.06109,0.0,-1.5,0.6,0.58373
1754648232.2185774,0.60748,0.06121,0.0,-1.5,0.6,0.58373
1754648232.2792983,0.60746,0.06209,0.0,-1.5,0.6,0.58373
1754648232.3183858,0.60756,0.0621,0.0,-1.5,0.6,0.58373
1754648232.3793046,0.60731,0.06261,0.0,-1.5,0.6,0.58373
1754648232.4190676,0.60662,0.06332,0.0,-1.5,0.6,0.58373
1754648232.4792628,0.60675,0.06318,0.0,-1.5,0.6,0.58373
1754648232.519299,0.60713,0.06282,0.0,-1.5,0.6,0.58373
1754648232.5792944,0.6074,0.06256,0.0,-1.5,0.6,0.58373
1754648232.6182668,0.60795,0.06219,0.0,-1.5,0.6,0.58373
1754648232.6793215,0.60851,0.06254,0.0,-1.5,0.6,0.58373
1754648232.7192984,0.60816,0.06289,0.0,-1.5,0.6,0.58373
1754648232.779303,0.6074,0.06298,0.0,-1.5,0.6,0.58373
1754648232.8392909,0.60712,0.06345,0.0,-1.5,0.6,0.58373
1754648232.8790407,0.60648,0.06409,0.0,-1.5,0.6,0.58373
1754648232.944724,0.60633,0.06441,0.0,-1.5,0.6,0.58373
1754648232.978929,0.60686,0.06438,0.0,-1.5,0.6,0.58373
1754648233.0405233,0.60779,0.06437,0.0,-1.5,0.6,0.58373
1754648233.0783203,0.60825,0.06403,0.0,-1.5,0.6,0.58373
1754648233.1388118,0.608,0.06387,0.0,-1.5,0.6,0.58373
1754648233.1786375,0.60814,0.06408,0.0,-1.5,0.6,0.58373
1754648233.2396264,0.60761,0.06468,0.0,-1.5,0.6,0.58373
1754648233.2993426,0.60725,0.06542,0.0,-1.5,0.6,0.58373
1754648233.339987,0.60745,0.0662,0.0,-1.5,0.6,0.58373
1754648233.398274,0.60723,0.06632,0.0,-1.5,0.6,0.58373
1754648233.4393907,0.60768,0.06634,0.0,-1.5,0.6,0.58373
1754648233.498204,0.60641,0.06623,0.0,-1.5,0.6,0.58373
1754648233.540399,0.60494,0.066,0.0,-1.5,0.6,0.58373
1754648233.5988407,0.60439,0.06539,0.0,-1.5,0.6,0.58373
1754648233.6397247,0.60359,0.06476,0.0,-1.5,0.6,0.58373
1754648233.6988714,0.60322,0.06431,0.0,-1.5,0.6,0.58373
1754648233.7559927,0.60289,0.06414,0.0,-1.5,0.6,0.58373
1754648233.7991543,0.60259,0.06407,0.0,-1.5,0.6,0.58373
1754648233.8564456,0.60267,0.06404,0.0,-1.5,0.6,0.58373
1754648233.8974428,0.60277,0.06402,0.0,-1.5,0.6,0.58373
1754648233.9480836,0.60292,0.06406,0.0,-1.5,0.6,0.58373
1754648233.99906,0.60305,0.06406,0.0,-1.5,0.6,0.58373
1754648234.0480554,0.60338,0.06399,0.0,-1.5,0.6,0.58373
1754648234.1003635,0.6036,0.06389,0.0,-1.5,0.6,0.58373
1754648234.1565385,0.60363,0.06374,0.0,-1.5,0.6,0.58373
1754648234.198657,0.60352,0.06381,0.0,-1.5,0.6,0.58373
1754648234.2555082,0.60338,0.06379,0.0,-1.5,0.6,0.58373
1754648234.338375,0.60359,0.06356,0.0,-1.5,0.6,0.58373
1754648234.3783069,0.60366,0.06351,0.0,-1.5,0.6,0.58373
1754648234.4390354,0.60371,0.06344,0.0,-1.5,0.6,0.58373
1754648234.478337,0.60383,0.06348,0.0,-1.5,0.6,0.58373
1754648234.5308971,0.60397,0.0633,0.0,-1.5,0.6,0.58373
1754648234.578376,0.60412,0.06318,0.0,-1.5,0.6,0.58373
1754648234.6312346,0.60419,0.06304,0.0,-1.5,0.6,0.58373
1754648234.6793826,0.60425,0.06283,0.0,-1.5,0.6,0.58373
1754648234.7312107,0.60418,0.06277,0.0,-1.5,0.6,0.58373
1754648234.7723181,0.6041,0.06276,0.0,-1.5,0.6,0.58373
1754648234.8387997,0.60411,0.06266,0.0,-1.5,0.6,0.58373
1754648234.8793595,0.60398,0.06255,0.0,-1.5,0.6,0.58373
1754648234.9388108,0.60387,0.06246,0.0,0.25888758202998113,0.6,0.0
1754648234.9790695,0.60377,0.06271,0.0,0.16595898075855572,0.6,0.00016000000000000736
1754648235.0400248,0.60353,0.06503,0.0,-1.5,0.6,0.00248000000000001
1754648235.08866,0.60188,0.07513,0.0,0.6998903747321235,0.6,0.00248000000000001
1754648235.1399143,0.59823,0.09701,0.0,0.8314795555773068,0.6,0.012580000000000008
1754648235.1902933,0.59356,0.12856,0.0,0.8945022349797702,0.6,0.06601000000000001
1754648235.2392042,0.5891,0.16831,0.0,-1.5,0.6,0.10575999999999999
1754648235.2959774,0.58341,0.21332,0.0,0.969658494583845,0.6,0.15077000000000002
1754648235.3396194,0.57719,0.26209,0.0,0.9754037876799105,0.6,0.15077000000000002
1754648235.3960059,0.57174,0.31168,0.0,0.8847594496710299,0.6,0.19954
1754648235.4562135,0.56544,0.35858,0.0,0.791916962419033,0.6,0.24913000000000002
1754648235.499194,0.56544,0.35858,0.0,0.7019456414821147,0.6,0.29603
1754648235.558952,0.56544,0.35858,0.0,0.7074857998106479,0.6,0.29603
1754648235.5969055,0.5507,0.47536,0.0,0.4773868061916827,0.6,0.41281
1754648235.6600535,0.5507,0.47536,0.0,0.4808768433275221,0.6,0.41281
1754648235.7190516,0.53959,0.56632,0.0,0.48419028123974783,0.6,0.41281
1754648235.7605836,0.53608,0.59523,0.0,0.24564918709731082,0.6,0.53268
1754648235.8185847,0.53287,0.62017,0.0,-1.5,0.6,0.55762
1754648235.878751,0.53025,0.63974,0.0,0.19771819685578357,0.6,0.55762
1754648235.9187481,0.52896,0.65118,0.0,-1.5,0.6,0.58863
1754648235.9795372,0.52778,0.65601,0.0,-1.5,0.6,0.58863
1754648236.0185502,0.52723,0.65653,0.0,-1.5,0.6,0.58863
1754648236.0793884,0.5269,0.65432,0.0,-1.5,0.6,0.58863
1754648236.1181889,0.52648,0.65151,0.0,-1.5,0.6,0.58863
1754648236.179379,0.52659,0.64954,0.0,-1.5,0.6,0.58863
1754648236.221147,0.52689,0.64815,0.0,-1.5,0.6,0.58863
1754648236.2836933,0.5266,0.64774,0.0,-1.5,0.6,0.58863
1754648236.319357,0.52673,0.64853,0.0,-1.5,0.6,0.58863
1754648236.3783793,0.52674,0.64946,0.0,-1.5,0.6,0.58863
1754648236.4193828,0.52666,0.6502,0.0,-1.5,0.6,0.58863
1754648236.4787595,0.52649,0.65044,0.0,-1.5,0.6,0.58863
1754648236.538726,0.52691,0.65034,0.0,-1.5,0.6,0.58863
1754648236.5796447,0.52746,0.6499,0.0,-1.5,0.6,0.58863
1754648236.6394143,0.52717,0.65003,0.0,-1.5,0.6,0.58863
1754648236.6783793,0.52718,0.65039,0.0,-1.5,0.6,0.58863
1754648236.739372,0.52747,0.65074,0.0,-1.5,0.6,0.58863
1754648236.7785094,0.52805,0.65082,0.0,-1.5,0.6,0.58863
1754648236.8394153,0.5287,0.6511,0.0,-1.5,0.6,0.58863
