time,x,y,z,pid_output,target_distance,relative_position
1754649701.979463,0.0,0.0,0.0,,,
1754649702.0386758,2e-05,-2e-05,0.0,,,
1754649702.084398,2e-05,1e-05,0.0,,,
1754649702.138637,-0.0,1e-05,0.0,,,
1754649702.185233,-4e-05,0.0,0.0,,,
1754649702.2449698,-3e-05,-3e-05,0.0,,,
1754649702.3065078,-1e-05,-1e-05,0.0,,,
1754649702.352307,-2e-05,-2e-05,0.0,,,
1754649702.3998632,-1e-05,-3e-05,0.0,,,
1754649702.4657943,1e-05,-6e-05,0.0,0.3515569311182751,0.6,0.0
1754649702.5050282,1e-05,-5e-05,0.0,0.5773473927638163,0.6,2e-05
1754649702.5648408,0.00077,-0.0,0.0,-1.5,0.6,0.00078
1754649702.6082177,0.00613,0.00121,0.0,1.1331719885644853,0.6,0.00614
1754649702.6546543,0.02255,0.00284,0.0,1.3976868998158078,0.6,0.00614
1754649702.7049448,0.05426,0.00672,0.0,-1.5,0.6,0.054270000000000006
1754649702.754443,0.09199,0.01084,0.0,1.5,0.6,0.092
1754649702.807132,0.126,0.01095,0.0,1.5,0.6,0.092
1754649702.8633628,0.16977,0.01394,0.0,1.4946488699054719,0.6,0.12601
1754649702.9216468,0.2169,0.01828,0.0,1.2294713583626746,0.6,0.21691000000000002
1754649702.9631355,0.26422,0.02147,0.0,1.0922795241494179,0.6,0.26423
1754649703.025409,0.30922,0.02523,0.0,-1.5,0.6,0.30923
1754649703.061226,0.35063,0.02872,0.0,0.8424196979019641,0.6,0.35064
1754649703.122026,0.38832,0.03171,0.0,0.7338980299522876,0.6,0.38833
1754649703.1655571,0.42351,0.03437,0.0,0.7365343719134331,0.6,0.38833
1754649703.2120793,0.45798,0.03735,0.0,0.5301241030611993,0.6,0.45799
1754649703.2574477,0.49292,0.04073,0.0,0.532056934412241,0.6,0.45799
1754649703.3255155,0.52685,0.04412,0.0,-1.5,0.6,0.52686
1754649703.365639,0.55794,0.04743,0.0,-1.5,0.6,0.55795
1754649703.4236054,0.5824,0.04958,0.0,0.23593581908154507,0.6,0.55795
1754649703.462349,0.59757,0.05121,0.0,0.16255581908154496,0.6,0.58241
1754649703.5191395,0.60461,0.05125,0.0,0.16255581908154496,0.6,0.58241
1754649703.5620723,0.60511,0.05072,0.0,0.16255581908154496,0.6,0.58241
1754649703.6250103,0.6011,0.04962,0.0,0.16255581908154496,0.6,0.58241
1754649703.6642616,0.59717,0.0481,0.0,0.16255581908154496,0.6,0.58241
1754649703.7250972,0.59454,0.04714,0.0,0.16255581908154496,0.6,0.58241
1754649703.7645798,0.59291,0.04681,0.0,0.16255581908154496,0.6,0.58241
1754649703.8251722,0.59231,0.04646,0.0,0.16255581908154496,0.6,0.58241
1754649703.884163,0.59214,0.04638,0.0,0.16255581908154496,0.6,0.58241
1754649703.9249437,0.59225,0.04622,0.0,0.16255581908154496,0.6,0.58241
1754649703.9852185,0.59282,0.04625,0.0,0.16255581908154496,0.6,0.58241
1754649704.0252426,0.59323,0.04636,0.0,0.16255581908154496,0.6,0.58241
1754649704.0848193,0.59324,0.0447,0.0,0.16255581908154496,0.6,0.58241
1754649704.1241956,0.59327,0.04462,0.0,0.16255581908154496,0.6,0.58241
1754649704.1850405,0.59319,0.04555,0.0,0.16255581908154496,0.6,0.58241
1754649704.2247388,0.59254,0.04547,0.0,0.16255581908154496,0.6,0.58241
1754649704.2851303,0.59227,0.04554,0.0,0.16255581908154496,0.6,0.58241
1754649704.345368,0.59252,0.04522,0.0,0.16255581908154496,0.6,0.58241
1754649704.3850985,0.59259,0.0454,0.0,0.16255581908154496,0.6,0.58241
1754649704.4448996,0.5929,0.0456,0.0,0.16255581908154496,0.6,0.58241
1754649704.4860158,0.59404,0.04577,0.0,0.16255581908154496,0.6,0.58241
1754649704.5647116,0.5939,0.0464,0.0,0.16255581908154496,0.6,0.58241
1754649704.606854,0.59379,0.04725,0.0,0.16255581908154496,0.6,0.58241
1754649704.6639688,0.59345,0.04803,0.0,0.16255581908154496,0.6,0.58241
1754649704.7048259,0.5929,0.04827,0.0,0.16255581908154496,0.6,0.58241
1754649704.7639663,0.59289,0.04756,0.0,0.16255581908154496,0.6,0.58241
1754649704.8047833,0.59353,0.04661,0.0,0.16255581908154496,0.6,0.58241
1754649704.8642614,0.59442,0.04577,0.0,0.16255581908154496,0.6,0.58241
1754649704.904757,0.59475,0.04546,0.0,0.16255581908154496,0.6,0.58241
1754649704.9641414,0.59485,0.04601,0.0,0.16255581908154496,0.6,0.58241
1754649705.0251873,0.5949,0.04656,0.0,0.16255581908154496,0.6,0.58241
1754649705.0639265,0.59436,0.04671,0.0,0.16255581908154496,0.6,0.58241
1754649705.1248147,0.59383,0.04682,0.0,0.16255581908154496,0.6,0.58241
1754649705.1638446,0.59372,0.04695,0.0,0.16255581908154496,0.6,0.58241
1754649705.2250316,0.59343,0.04681,0.0,0.16255581908154496,0.6,0.58241
1754649705.2639053,0.59305,0.04675,0.0,0.16255581908154496,0.6,0.58241
1754649705.325125,0.59351,0.04687,0.0,0.16255581908154496,0.6,0.58241
1754649705.3642886,0.59424,0.04707,0.0,0.16255581908154496,0.6,0.58241
1754649705.4239004,0.59471,0.04691,0.0,0.16255581908154496,0.6,0.58241
1754649705.463886,0.59495,0.04704,0.0,0.16255581908154496,0.6,0.58241
1754649705.5254996,0.59538,0.04739,0.0,0.16255581908154496,0.6,0.58241
1754649705.565613,0.59487,0.04752,0.0,0.16255581908154496,0.6,0.58241
1754649705.6285455,0.59417,0.0475,0.0,0.16255581908154496,0.6,0.58241
1754649705.6645124,0.59392,0.04777,0.0,0.16255581908154496,0.6,0.58241
1754649705.7248907,0.59394,0.04834,0.0,0.16255581908154496,0.6,0.58241
1754649705.7620234,0.59434,0.04839,0.0,0.16255581908154496,0.6,0.58241
1754649705.8200338,0.59471,0.04846,0.0,0.16255581908154496,0.6,0.58241
1754649705.8638644,0.59515,0.04872,0.0,0.16255581908154496,0.6,0.58241
1754649705.9238467,0.59475,0.04853,0.0,0.16255581908154496,0.6,0.58241
1754649705.9788256,0.59417,0.04866,0.0,0.16255581908154496,0.6,0.58241
1754649706.0248542,0.59349,0.04898,0.0,0.16255581908154496,0.6,0.58241
1754649706.0787814,0.59347,0.04929,0.0,0.16255581908154496,0.6,0.58241
1754649706.1248693,0.59346,0.04904,0.0,0.16255581908154496,0.6,0.58241
1754649706.1848514,0.59354,0.04906,0.0,0.16255581908154496,0.6,0.58241
1754649706.2248344,0.59195,0.04942,0.0,0.16255581908154496,0.6,0.58241
1754649706.2869866,0.59057,0.04965,0.0,0.16255581908154496,0.6,0.58241
1754649706.3205416,0.5904,0.04979,0.0,0.16255581908154496,0.6,0.58241
1754649706.3786747,0.59088,0.05014,0.0,0.16255581908154496,0.6,0.58241
1754649706.4238226,0.591,0.05079,0.0,0.16255581908154496,0.6,0.58241
1754649706.4848118,0.59068,0.05102,0.0,0.16255581908154496,0.6,0.58241
1754649706.5248394,0.59066,0.05052,0.0,0.16255581908154496,0.6,0.58241
1754649706.5847087,0.59085,0.05002,0.0,0.16255581908154496,0.6,0.58241
1754649706.6233366,0.59092,0.04954,0.0,0.16255581908154496,0.6,0.58241
1754649706.684805,0.59104,0.04925,0.0,0.16255581908154496,0.6,0.58241
1754649706.7448022,0.59172,0.04946,0.0,0.16255581908154496,0.6,0.58241
1754649706.8035088,0.59172,0.04946,0.0,0.16255581908154496,0.6,0.58241
1754649706.8447726,0.59188,0.04972,0.0,0.16255581908154496,0.6,0.58241
1754649706.8990247,0.59205,0.04995,0.0,0.16255581908154496,0.6,0.58241
1754649706.9447904,0.59218,0.05018,0.0,0.16255581908154496,0.6,0.58241
1754649707.0116112,0.59224,0.0503,0.0,0.16255581908154496,0.6,0.58241
1754649707.0458736,0.59221,0.05039,0.0,0.16255581908154496,0.6,0.58241
1754649707.103387,0.59227,0.05028,0.0,0.16255581908154496,0.6,0.58241
1754649707.1526628,0.59215,0.05005,0.0,0.16255581908154496,0.6,0.58241
1754649707.2051878,0.59222,0.04979,0.0,0.16255581908154496,0.6,0.58241
1754649707.25334,0.59207,0.0499,0.0,0.16255581908154496,0.6,0.58241
1754649707.3057408,0.59195,0.04988,0.0,0.16255581908154496,0.6,0.58241
1754649707.364762,0.59205,0.04978,0.0,0.16255581908154496,0.6,0.58241
1754649707.4053013,0.59207,0.04974,0.0,0.16255581908154496,0.6,0.58241
1754649707.45301,0.59213,0.04971,0.0,0.16255581908154496,0.6,0.58241
1754649707.5056329,0.59219,0.04961,0.0,0.16255581908154496,0.6,0.58241
1754649707.5657654,0.59232,0.04959,0.0,0.16255581908154496,0.6,0.58241
1754649707.6065595,0.59241,0.04955,0.0,0.21655194577882297,0.6,4.000000000000531e-05
1754649707.6659427,0.59253,0.04961,0.0,0.5659433458001811,0.6,1.9999999999999185e-05
1754649707.7254732,0.59242,0.05003,0.0,0.8949487789571328,0.6,1.9999999999999185e-05
1754649707.7654724,0.59156,0.05433,0.0,-1.5,0.6,0.004740000000000001
1754649707.8258665,0.58891,0.06895,0.0,1.4463148260677485,0.6,0.004740000000000001
1754649707.8856645,0.58644,0.09795,0.0,-1.5,0.6,0.04835999999999999
1754649707.9254212,0.58284,0.13809,0.0,-1.5,0.6,0.0885
1754649707.9852185,0.57842,0.18472,0.0,-1.5,0.6,0.13513
1754649708.0252764,0.57207,0.23509,0.0,1.467787592779398,0.6,0.13513
1754649708.0852706,0.56592,0.28467,0.0,-1.5,0.6,0.23507999999999998
1754649708.1253777,0.56038,0.33315,0.0,1.179788232019186,0.6,0.23507999999999998
1754649708.18737,0.56038,0.33315,0.0,1.040233249918699,0.6,0.28356
1754649708.2256339,0.54926,0.41891,0.0,-1.5,0.6,0.36932
1754649708.286627,0.54518,0.45571,0.0,-1.5,0.6,0.40612
1754649708.3448803,0.54124,0.49028,0.0,0.6838273458230495,0.6,0.40612
1754649708.3848743,0.53701,0.52447,0.0,-1.5,0.6,0.47487999999999997
1754649708.4449463,0.5326,0.55986,0.0,-1.5,0.6,0.51027
1754649708.4849412,0.52745,0.59581,0.0,-1.5,0.6,0.5462199999999999
1754649708.54523,0.52291,0.62931,0.0,0.2696951587758066,0.6,0.5462199999999999
1754649708.5852242,0.51918,0.65628,0.0,-1.5,0.6,0.60669
1754649708.6445966,0.51688,0.68226,0.0,-1.5,0.6,0.60669
1754649708.6856465,0.51637,0.68442,0.0,-1.5,0.6,0.60669
1754649708.7447393,0.51611,0.68247,0.0,-1.5,0.6,0.60669
1754649708.8046517,0.51656,0.68087,0.0,-1.5,0.6,0.60669
1754649708.8444228,0.51669,0.68043,0.0,-1.5,0.6,0.60669
1754649708.9045959,0.51681,0.68062,0.0,-1.5,0.6,0.60669
1754649708.9447694,0.51677,0.68087,0.0,-1.5,0.6,0.60669
1754649709.004668,0.51674,0.68112,0.0,-1.5,0.6,0.60669
1754649709.065653,0.51667,0.68144,0.0,-1.5,0.6,0.60669
1754649709.1057801,0.51672,0.68143,0.0,-1.5,0.6,0.60669
1754649709.1650984,0.5168,0.68149,0.0,-1.5,0.6,0.60669
1754649709.204434,0.51786,0.68155,0.0,-1.5,0.6,0.60669
1754649709.2656775,0.51908,0.68163,0.0,-1.5,0.6,0.60669
1754649709.3051403,0.51899,0.6816,0.0,-1.5,0.6,0.60669
1754649709.3645551,0.51853,0.68104,0.0,-1.5,0.6,0.60669
1754649709.4275239,0.51842,0.68104,0.0,-1.5,0.6,0.60669
1754649709.4645624,0.51859,0.68151,0.0,-1.5,0.6,0.60669
1754649709.5256543,0.51876,0.68183,0.0,-1.5,0.6,0.60669
1754649709.5645323,0.51891,0.68225,0.0,-1.5,0.6,0.60669
1754649709.6286821,0.51896,0.6828,0.0,-1.5,0.6,0.60669
1754649709.6603558,0.51933,0.68305,0.0,-1.5,0.6,0.60669
1754649709.7253075,0.51911,0.68247,0.0,-1.5,0.6,0.60669
1754649709.765193,0.51913,0.68183,0.0,-1.5,0.6,0.60669
1754649709.8256478,0.51913,0.68182,0.0,-1.5,0.6,0.60669
1754649709.8654966,0.51928,0.68229,0.0,-1.5,0.6,0.60669
1754649709.9154975,0.51942,0.68247,0.0,-1.5,0.6,0.60669
1754649709.9656076,0.51986,0.68323,0.0,-1.5,0.6,0.60669
1754649710.026846,0.51977,0.68391,0.0,-1.5,0.6,0.60669
1754649710.064931,0.51914,0.68287,0.0,-1.5,0.6,0.60669
1754649710.122397,0.51885,0.68217,0.0,-1.5,0.6,0.60669
1754649710.166482,0.5188,0.68203,0.0,-1.5,0.6,0.60669
1754649710.2255318,0.51855,0.68127,0.0,-1.5,0.6,0.60669
1754649710.2654638,0.51845,0.68078,0.0,-1.5,0.6,0.60669
1754649710.3255546,0.51833,0.68148,0.0,-1.5,0.6,0.60669
1754649710.3863454,0.51767,0.68213,0.0,-1.5,0.6,0.60669
1754649710.4265137,0.51728,0.68232,0.0,-1.5,0.6,0.60669
1754649710.476387,0.51702,0.68307,0.0,-1.5,0.6,0.60669
1754649710.5260544,0.5166,0.68346,0.0,-1.5,0.6,0.60669
1754649710.5770526,0.51638,0.68266,0.0,-1.5,0.6,0.60669
1754649710.6263115,0.51657,0.68238,0.0,-1.5,0.6,0.60669
1754649710.6765146,0.51688,0.682,0.0,-1.5,0.6,0.60669
1754649710.7247593,0.51692,0.68203,0.0,-1.5,0.6,0.60669
