time,x,y,z,pid_output,target_distance,relative_position
1754650003.5277197,0.0,0.0,0.0,,,
1754650003.5939658,-1e-05,0.0,0.0,,,
1754650003.627698,2e-05,-3e-05,0.0,,,
1754650003.6876528,2e-05,-6e-05,0.0,,,
1754650003.727417,2e-05,-3e-05,0.0,,,
1754650003.7868178,2e-05,-8e-05,0.0,,,
1754650003.8866103,1e-05,-6e-05,0.0,,,
1754650003.9268892,1e-05,-8e-05,0.0,,,
1754650003.9866116,3e-05,-4e-05,0.0,,,
1754650004.1479442,3e-05,-5e-05,0.0,0.4047472427550392,0.6,0.0
1754650004.1509442,0.00121,3e-05,0.0,-1.5,0.6,0.0011799999999999998
1754650004.1889412,0.00689,0.0007,0.0,-1.5,0.6,0.006860000000000001
1754650004.24747,0.01832,0.00208,0.0,-1.5,0.6,0.01829
1754650004.428032,0.0342,0.00345,0.0,0.9139000810925285,0.6,0.01829
1754650004.4672818,0.11332,0.01168,0.0,0.9663222881484682,0.6,0.03417
1754650004.5082834,0.15196,0.01559,0.0,-1.5,0.6,0.15193
1754650004.6785052,0.15196,0.01559,0.0,1.1089563946138006,0.6,0.15193
1754650004.687504,0.2366,0.02448,0.0,-1.5,0.6,0.23657
1754650004.7275198,0.32382,0.03318,0.0,-1.5,0.6,0.32379
1754650004.7867467,0.40533,0.04162,0.0,-1.5,0.6,0.40530000000000005
1754650004.8282623,0.44291,0.04546,0.0,0.571745658788681,0.6,0.40530000000000005
1754650004.9499497,0.47934,0.04947,0.0,-1.5,0.6,0.47931
1754650004.9874723,0.54532,0.05566,0.0,-1.5,0.6,0.54529
1754650005.0480597,0.57158,0.05782,0.0,-1.5,0.6,0.57155
1754650005.088047,0.59315,0.05967,0.0,-1.5,0.6,0.59312
1754650005.2306538,0.62578,0.06296,0.0,-1.5,0.6,0.59312
1754650005.247421,0.63404,0.06382,0.0,-1.5,0.6,0.59312
1754650005.2869568,0.63584,0.06398,0.0,-1.5,0.6,0.59312
1754650005.3463137,0.63508,0.06378,0.0,-1.5,0.6,0.59312
1754650005.487476,0.63303,0.06359,0.0,-1.5,0.6,0.59312
1754650005.506488,0.63256,0.06353,0.0,-1.5,0.6,0.59312
1754650005.5475461,0.63228,0.06351,0.0,-1.5,0.6,0.59312
1754650005.6068335,0.63222,0.06338,0.0,-1.5,0.6,0.59312
1754650005.7578373,0.6324,0.06327,0.0,-1.5,0.6,0.59312
1754650005.7578373,0.63231,0.06194,0.0,-1.5,0.6,0.59312
1754650005.806463,0.63188,0.06214,0.0,-1.5,0.6,0.59312
1754650005.8550153,0.63211,0.06302,0.0,-1.5,0.6,0.59312
1754650006.0230784,0.63282,0.06117,0.0,-1.5,0.6,0.59312
1754650006.067454,0.63297,0.06069,0.0,-1.5,0.6,0.59312
1754650006.1065078,0.63293,0.06048,0.0,-1.5,0.6,0.59312
1754650006.2690406,0.63259,0.06097,0.0,-1.5,0.6,0.59312
1754650006.283139,0.63208,0.06365,0.0,-1.5,0.6,0.59312
1754650006.3229408,0.63243,0.06398,0.0,-1.5,0.6,0.59312
1754650006.3664072,0.63295,0.06423,0.0,-1.5,0.6,0.59312
1754650006.4282627,0.63329,0.06388,0.0,-1.5,0.6,0.59312
1754650006.5575502,0.63426,0.06321,0.0,-1.5,0.6,0.59312
1754650006.6209037,0.63408,0.06297,0.0,-1.5,0.6,0.59312
1754650006.667391,0.63357,0.06342,0.0,-1.5,0.6,0.59312
1754650006.8223286,0.63322,0.06438,0.0,-1.5,0.6,0.59312
1754650006.866363,0.63446,0.0652,0.0,-1.5,0.6,0.59312
1754650006.9278264,0.63499,0.06495,0.0,-1.5,0.6,0.59312
1754650007.087667,0.63532,0.06461,0.0,-1.5,0.6,0.59312
1754650007.1244447,0.63542,0.06517,0.0,-1.5,0.6,0.59312
1754650007.1821427,0.63487,0.06563,0.0,-1.5,0.6,0.59312
1754650007.228069,0.63475,0.06569,0.0,-1.5,0.6,0.59312
1754650007.34214,0.63482,0.06611,0.0,-1.5,0.6,0.59312
1754650007.3873332,0.63584,0.06662,0.0,-1.5,0.6,0.59312
1754650007.427413,0.63707,0.06627,0.0,-1.5,0.6,0.59312
1754650007.4794474,0.63749,0.06654,0.0,-1.5,0.6,0.59312
1754650007.6235874,0.63637,0.06596,0.0,-1.5,0.6,0.59312
1754650007.6862543,0.63579,0.06657,0.0,-1.5,0.6,0.59312
1754650007.7263606,0.63615,0.06671,0.0,-1.5,0.6,0.59312
1754650007.899351,0.6338,0.06663,0.0,-1.5,0.6,0.59312
1754650007.9459379,0.63295,0.06576,0.0,-1.5,0.6,0.59312
1754650007.987286,0.63258,0.06461,0.0,-1.5,0.6,0.59312
1754650008.1531017,0.63224,0.06328,0.0,-1.5,0.6,0.59312
1754650008.1667821,0.63213,0.06234,0.0,-1.5,0.6,0.59312
1754650008.2058747,0.63229,0.06187,0.0,-1.5,0.6,0.59312
1754650008.2505338,0.63228,0.06191,0.0,-1.5,0.6,0.59312
1754650008.2951922,0.6323,0.06196,0.0,-1.5,0.6,0.59312
1754650008.3462312,0.63216,0.06175,0.0,-1.5,0.6,0.59312
1754650008.4040914,0.63219,0.06154,0.0,-1.5,0.6,0.59312
1754650008.4474092,0.63202,0.06141,0.0,-1.5,0.6,0.59312
1754650008.504051,0.63193,0.06146,0.0,-1.5,0.6,0.59312
1754650008.5472345,0.632,0.06149,0.0,-1.5,0.6,0.59312
1754650008.6026013,0.63216,0.0615,0.0,-1.5,0.6,0.59312
1754650008.6465085,0.63239,0.06158,0.0,-1.5,0.6,0.59312
1754650008.703122,0.6325,0.06147,0.0,-1.5,0.6,0.59312
1754650008.75387,0.63231,0.06176,0.0,-1.5,0.6,0.59312
1754650008.8062277,0.63239,0.06179,0.0,-1.5,0.6,0.59312
1754650008.866849,0.63269,0.06171,0.0,-1.5,0.6,0.59312
1754650008.9061656,0.63266,0.0616,0.0,-1.5,0.6,0.59312
1754650008.9614446,0.63254,0.06152,0.0,-1.5,0.6,0.59312
1754650009.0060668,0.63252,0.06147,0.0,-1.5,0.6,0.59312
1754650009.0694811,0.63251,0.06145,0.0,-1.5,0.6,0.59312
1754650009.1063097,0.63248,0.06151,0.0,-1.5,0.6,0.59312
1754650009.166357,0.63253,0.06147,0.0,-1.5,0.6,0.59312
1754650009.2071576,0.63265,0.06133,0.0,-1.5,0.6,0.59312
1754650009.2668276,0.63263,0.06134,0.0,-1.5,0.6,0.59312
1754650009.3066077,0.63261,0.0614,0.0,-1.5,0.6,0.59312
1754650009.3672762,0.63272,0.06149,0.0,-0.048308302132347554,0.6,8.99999999999998e-05
1754650009.4266536,0.63293,0.06154,0.0,0.22631314593276294,0.6,0.0001399999999999943
1754650009.468283,0.63293,0.06251,0.0,-1.5,0.6,0.001109999999999993
1754650009.5269122,0.6319,0.06824,0.0,0.5311704269940472,0.6,0.006839999999999992
1754650009.5677514,0.62988,0.10772,0.0,0.6079785770254394,0.6,0.006839999999999992
1754650009.6271574,0.62571,0.13938,0.0,0.6376925734496367,0.6,0.07798
1754650009.66769,0.62093,0.17548,0.0,-1.5,0.6,0.11407999999999999
1754650009.7266827,0.61598,0.21433,0.0,-1.5,0.6,0.15292999999999998
1754650009.786827,0.61085,0.25438,0.0,0.7235867552884558,0.6,0.19297999999999998
