time,x,y,z,pid_output,target_distance,relative_position
1754669222.927801,0.0,0.0,0.0,,,
1754669222.967551,1e-05,5e-05,0.0,,,
1754669223.0193467,4e-05,0.0001,0.0,,,
1754669223.0621052,5e-05,8e-05,0.0,,,
1754669223.126716,3e-05,6e-05,0.0,1.259958,0.6,2e-05
1754669223.1660762,1e-05,1e-05,0.0,1.377992918387413,0.6,4e-05
1754669223.2280266,1e-05,2e-05,0.0,1.5,0.6,4e-05
1754669223.2626815,0.0004,4e-05,0.0,1.5,0.6,0.00035
1754669223.32577,0.00476,-1e-05,0.0,1.5,0.6,0.004710000000000001
1754669223.3667364,0.0185,-6e-05,0.0,1.5,0.6,0.018449999999999998
1754669223.4240599,0.08382,-0.00479,0.0,1.5,0.6,0.08377000000000001
1754669223.484975,0.12971,-0.00757,0.0,1.5,0.6,0.12966
1754669223.5470333,0.17997,-0.00932,0.0,1.5,0.6,0.17992
1754669223.586804,0.23177,-0.00991,0.0,1.5,0.6,0.23172
1754669223.6412206,0.28192,-0.01211,0.0,1.5,0.6,0.28187
1754669223.6950886,0.32706,-0.01344,0.0,1.5,0.6,0.32701
1754669223.7627203,0.36627,-0.01513,0.0,1.5,0.6,0.36622
1754669223.8073528,0.40108,-0.01621,0.0,1.5,0.6,0.40103
1754669223.8668199,0.43375,-0.01739,0.0,1.5,0.6,0.43370000000000003
1754669223.9292264,0.50501,-0.02002,0.0,1.5,0.6,0.50496
1754669223.9849637,0.54577,-0.02107,0.0,1.5,0.6,0.54572
1754669224.0474286,0.58916,-0.0224,0.0,1.5,0.6,0.58911
1754669224.0851955,0.63365,-0.02412,0.0,1.5,0.6,0.58911
1754669224.1448472,0.67696,-0.02603,0.0,1.5,0.6,0.58911
1754669224.186509,0.71835,-0.0275,0.0,1.5,0.6,0.58911
1754669224.2419956,0.75696,-0.02903,0.0,1.5,0.6,0.58911
1754669224.2866683,0.7899,-0.03057,0.0,1.5,0.6,0.58911
1754669224.3472865,0.81347,-0.03245,0.0,1.5,0.6,0.58911
1754669224.387733,0.82447,-0.03435,0.0,1.5,0.6,0.58911
1754669224.4433646,0.82417,-0.03839,0.0,1.5,0.6,0.58911
1754669224.5062354,0.81712,-0.04042,0.0,1.5,0.6,0.58911
1754669224.547367,0.80533,-0.04115,0.0,1.5,0.6,0.58911
1754669224.6029289,0.79265,-0.04063,0.0,1.5,0.6,0.58911
1754669224.6452572,0.78343,-0.03992,0.0,1.5,0.6,0.58911
1754669224.7051132,0.78067,-0.03891,0.0,1.5,0.6,0.58911
1754669224.746869,0.78384,-0.03818,0.0,1.5,0.6,0.58911
1754669224.8074875,0.79143,-0.03759,0.0,1.5,0.6,0.58911
1754669224.862857,0.80043,-0.03753,0.0,1.5,0.6,0.58911
1754669224.906948,0.80672,-0.03787,0.0,1.5,0.6,0.58911
1754669224.9660618,0.80861,-0.03859,0.0,1.5,0.6,0.58911
1754669225.0220559,0.80605,-0.03996,0.0,1.5,0.6,0.58911
1754669225.0668552,0.80056,-0.04059,0.0,1.5,0.6,0.58911
1754669225.1237655,0.79455,-0.04117,0.0,1.5,0.6,0.58911
1754669225.1661623,0.79082,-0.04024,0.0,1.5,0.6,0.58911
1754669225.2274308,0.79069,-0.03897,0.0,1.5,0.6,0.58911
