time,x,y,z,pid_output,target_distance,relative_position,response_time_s
1754653688.4549294,-1e-05,-0.0,0.0,0.1861536776410752,0.6,0.0,18.25983166694641
1754653688.494932,-0.0,-1e-05,0.0,0.2344486778763292,0.6,1e-05,0.0
1754653688.555007,0.00127,0.0002,0.0,-1.5,0.6,0.00128,0.0
1754653688.5960052,0.00779,0.00031,0.0,-1.5,0.6,0.0078,0.0
1754653688.6560805,0.02363,0.00205,0.0,-1.5,0.6,0.02364,0.0
1754653688.7150755,0.049,0.00291,0.0,-1.5,0.6,0.04901,0.0
1754653688.75462,0.08031,0.00285,0.0,-1.5,0.6,0.08032,0.0
1754653688.8146148,0.11593,0.00265,0.0,-1.5,0.6,0.11594,0.0
1754653688.8551438,0.15423,0.00288,0.0,0.7218189593831558,0.6,0.11594,0.0
1754653688.9151435,0.19325,0.00325,0.0,0.6919693334972421,0.6,0.19326,0.0
1754653688.9563162,0.23204,0.00397,0.0,-1.5,0.6,0.23205,0.0
1754653689.0143073,0.2695,0.00422,0.0,-1.5,0.6,0.26951,0.0
1754653689.0755746,0.30532,0.00512,0.0,-1.5,0.6,0.30533,0.0
1754653689.1155736,0.34014,0.00555,0.0,-1.5,0.6,0.34015,0.0
1754653689.1752825,0.37434,0.00571,0.0,-1.5,0.6,0.37435,0.0
1754653689.2142785,0.40823,0.00602,0.0,-1.5,0.6,0.40824,0.0
1754653689.2858305,0.44125,0.0065,0.0,0.5164077357981205,0.6,0.40824,0.0
1754653689.317832,0.47201,0.00667,0.0,0.4493512331035136,0.6,0.44126,0.0
1754653689.3756824,0.49903,0.00667,0.0,0.3872452523024082,0.6,0.47202,0.0
1754653689.4146798,0.52182,0.00676,0.0,-1.5,0.6,0.5218299999999999,0.0
1754653689.474778,0.54011,0.00681,0.0,-1.5,0.6,0.5401199999999999,0.0
1754653689.5347776,0.55398,0.00687,0.0,-1.5,0.6,0.55399,0.0
1754653689.5749462,0.56377,0.00696,0.0,0.2193269714326858,0.6,0.55399,0.0
1754653689.634941,0.57092,0.007,0.0,-1.5,0.6,0.5709299999999999,0.0
1754653689.6754763,0.57761,0.00653,0.0,-1.5,0.6,0.5776199999999999,0.0
1754653689.735474,0.5849,0.00646,0.0,0.1711122486362457,0.6,0.5776199999999999,0.0
1754653689.7753012,0.59293,0.00651,0.0,-1.5,0.6,0.5849099999999999,0.0
1754653689.8352833,0.60206,0.00645,0.0,-1.5,0.6,0.5849099999999999,0.0
1754653689.874168,0.61134,0.00665,0.0,-1.5,0.6,0.5849099999999999,0.0
1754653689.9421709,0.61687,0.00674,0.0,-1.5,0.6,0.5849099999999999,0.0
1754653689.9951806,0.61828,0.00639,0.0,-1.5,0.6,0.5849099999999999,0.0
