time,x,y,z,pid_output,target_distance,relative_position,response_time_s
1754653808.5788567,-0.00056,-0.0001,0.0,1.5,0.6,6.999999999999997e-05,18.442489862442017
1754653808.6141305,-0.00057,0.00017,0.0,1.5,0.6,7.999999999999999e-05,0.0
1754653808.6792233,0.0002,0.00024,0.0,0.3561549715707066,0.6,0.00069,0.0
1754653808.7153466,0.00519,0.00076,0.0,1.5,0.6,0.00568,0.0
1754653808.775376,0.02104,0.00179,0.0,1.5,0.6,0.02153,0.0
1754653808.818262,0.05038,0.00318,0.0,-1.5,0.6,0.05087,0.0
1754653808.870909,0.08997,0.00216,0.0,1.5,0.6,0.09046,0.0
1754653808.9178207,0.13613,0.00144,0.0,1.5,0.6,0.09046,0.0
1754653808.970839,0.18328,0.00075,0.0,1.5,0.6,0.18377,0.0
1754653809.036734,0.23214,0.00017,0.0,1.5,0.6,0.23263,0.0
1754653809.0778997,0.28104,0.0014,0.0,1.5,0.6,0.23263,0.0
1754653809.142329,0.3272,0.00174,0.0,-1.5,0.6,0.32769,0.0
1754653809.179945,0.36923,0.00212,0.0,-1.5,0.6,0.36972,0.0
1754653809.2380416,0.40784,0.00316,0.0,-1.5,0.6,0.4083299999999999,0.0
1754653809.2797408,0.44368,0.00353,0.0,-1.5,0.6,0.44417,0.0
1754653809.3379917,0.47867,0.00421,0.0,1.5,0.6,0.44417,0.0
1754653809.3778102,0.51497,0.00494,0.0,-1.5,0.6,0.51546,0.0
1754653809.4381251,0.55351,0.00542,0.0,-1.5,0.6,0.5539999999999999,0.0
1754653809.4981406,0.59431,0.00589,0.0,-1.5,0.6,0.5948,0.0
1754653809.53804,0.63679,0.00635,0.0,-1.5,0.6,0.5948,0.0
1754653809.598662,0.67942,0.00713,0.0,-1.5,0.6,0.5948,0.0
1754653809.6380267,0.72085,0.00785,0.0,-1.5,0.6,0.5948,0.0
1754653809.6976142,0.75744,0.0078,0.0,-1.5,0.6,0.5948,0.0
1754653809.738002,0.7828,0.00844,0.0,-1.5,0.6,0.5948,0.0
1754653809.7987225,0.79498,0.00966,0.0,-1.5,0.6,0.5948,0.0
1754653809.8379683,0.79591,0.0089,0.0,-1.5,0.6,0.5948,0.0
1754653809.897743,0.78929,0.00703,0.0,-1.5,0.6,0.5948,0.0
1754653809.9379356,0.77045,0.0065,0.0,-1.5,0.6,0.5948,0.0
1754653809.9974442,0.7642,0.00905,0.0,-1.5,0.6,0.5948,0.0
1754653810.0386755,0.76164,0.01168,0.0,-1.5,0.6,0.5948,0.0
1754653810.0974042,0.76334,0.01347,0.0,-1.5,0.6,0.5948,0.0
1754653810.1378677,0.76817,0.01413,0.0,-1.5,0.6,0.5948,0.0
1754653810.198189,0.77328,0.01385,0.0,-1.5,0.6,0.5948,0.0
1754653810.2372644,0.77684,0.01233,0.0,-1.5,0.6,0.5948,0.0
1754653810.297457,0.77738,0.01108,0.0,-1.5,0.6,0.5948,0.0
1754653810.337669,0.77594,0.01004,0.0,-1.5,0.6,0.5948,0.0
1754653810.3980246,0.77331,0.00905,0.0,-1.5,0.6,0.5948,0.0
1754653810.438753,0.76998,0.00912,0.0,-1.5,0.6,0.5948,0.0
1754653810.4988213,0.76717,0.01027,0.0,-1.5,0.6,0.5948,0.0
1754653810.5377474,0.76644,0.01181,0.0,-1.5,0.6,0.5948,0.0
1754653810.597417,0.76837,0.01354,0.0,-1.5,0.6,0.5948,0.0
1754653810.6383853,0.7712,0.01436,0.0,-1.5,0.6,0.5948,0.0
1754653810.6974218,0.7739,0.01387,0.0,-1.5,0.6,0.5948,0.0
1754653810.7574108,0.77577,0.01264,0.0,-1.5,0.6,0.5948,0.0
1754653810.7976832,0.77592,0.01135,0.0,-1.5,0.6,0.5948,0.0
1754653810.8584146,0.77456,0.01079,0.0,-1.5,0.6,0.5948,0.0
1754653810.8974054,0.77277,0.01064,0.0,-1.5,0.6,0.5948,0.0
1754653810.9604323,0.77147,0.01108,0.0,-1.5,0.6,0.5948,0.0
1754653810.9975083,0.7704,0.01181,0.0,-1.5,0.6,0.5948,0.0
1754653811.0584242,0.77023,0.0127,0.0,-1.5,0.6,0.5948,0.0
1754653811.09739,0.77151,0.01353,0.0,-1.5,0.6,0.5948,0.0
1754653811.1593013,0.77295,0.01355,0.0,-1.5,0.6,0.5948,0.0
1754653811.1984737,0.77402,0.01309,0.0,-1.5,0.6,0.5948,0.0
1754653811.2575352,0.77484,0.01251,0.0,-1.5,0.6,0.5948,0.0
1754653811.2980828,0.77458,0.01198,0.0,-1.5,0.6,0.5948,0.0
1754653811.358332,0.77351,0.01167,0.0,-1.5,0.6,0.5948,0.0
1754653811.3979747,0.77278,0.01173,0.0,-1.5,0.6,0.5948,0.0
1754653811.462613,0.77238,0.01197,0.0,-1.5,0.6,0.5948,0.0
1754653811.497563,0.77256,0.01154,0.0,-1.5,0.6,0.5948,0.0
1754653811.5584092,0.7727,0.01133,0.0,-1.5,0.6,0.5948,0.0
1754653811.598401,0.77322,0.01142,0.0,-1.5,0.6,0.5948,0.0
1754653811.6584172,0.77379,0.01139,0.0,-1.5,0.6,0.5948,0.0
1754653811.69783,0.7736,0.01144,0.0,-1.5,0.6,0.5948,0.0
1754653811.7580633,0.77337,0.01173,0.0,-1.5,0.6,0.5948,0.0
1754653811.8183694,0.77364,0.0115,0.0,-1.5,0.6,0.5948,0.0
1754653811.8784616,0.77337,0.01048,0.0,-1.5,0.6,0.5948,0.0
1754653811.9180076,0.77332,0.01025,0.0,-1.5,0.6,0.5948,0.0
1754653811.978447,0.77388,0.0105,0.0,-1.5,0.6,0.5948,0.0
1754653812.018411,0.77193,0.01134,0.0,-1.5,0.6,0.5948,0.0
1754653812.0786183,0.77115,0.01192,0.0,-1.5,0.6,0.5948,0.0
1754653812.1181226,0.77064,0.0124,0.0,-1.5,0.6,0.5948,0.0
1754653812.178111,0.77012,0.01252,0.0,-1.5,0.6,0.5948,0.0
1754653812.218397,0.76985,0.01263,0.0,-1.5,0.6,0.5948,0.0
1754653812.2784476,0.7697,0.0125,0.0,-1.5,0.6,0.5948,0.0
1754653812.3178296,0.76977,0.01191,0.0,-1.5,0.6,0.5948,0.0
1754653812.3784423,0.76974,0.01138,0.0,-1.5,0.6,0.5948,0.0
1754653812.4171865,0.76981,0.0111,0.0,-1.5,0.6,0.5948,0.0
1754653812.4784453,0.7701,0.01083,0.0,-1.5,0.6,0.5948,0.0
1754653812.517324,0.77042,0.01084,0.0,-1.5,0.6,0.5948,0.0
1754653812.5786076,0.77065,0.01071,0.0,-1.5,0.6,0.5948,0.0
1754653812.618407,0.77087,0.01051,0.0,-1.5,0.6,0.5948,0.0
1754653812.677797,0.771,0.01049,0.0,-1.5,0.6,0.5948,0.0
1754653812.7384093,0.77106,0.01058,0.0,-1.5,0.6,0.5948,0.0
1754653812.7779243,0.77115,0.01039,0.0,-1.5,0.6,0.5948,0.0
1754653812.8379264,0.77125,0.0103,0.0,-1.5,0.6,0.5948,0.0
1754653812.8779566,0.7714,0.01052,0.0,-1.5,0.6,0.5948,0.0
1754653812.9384627,0.77154,0.01049,0.0,1.5,0.6,0.0,0.0
1754653812.9784565,0.77152,0.01043,0.0,1.5,0.6,8.99999999999998e-05,0.0
1754653813.0374615,0.77136,0.01081,0.0,1.5,0.6,8.99999999999998e-05,0.0
1754653813.0788045,0.77113,0.01374,0.0,-1.5,0.6,0.00322,0.0
1754653813.1378164,0.77014,0.02442,0.0,-1.5,0.6,0.0139,0.0
1754653813.197961,0.76844,0.04952,0.0,1.5,0.6,0.039,0.0
1754653813.2394967,0.76983,0.08597,0.0,1.5,0.6,0.039,0.0
1754653813.297496,0.76994,0.13151,0.0,1.5,0.6,0.07545,0.0
1754653813.3380203,0.76994,0.13151,0.0,1.5,0.6,0.1209899999999999,0.0
1754653813.3935924,0.77091,0.22686,0.0,1.5,0.6,0.21634,0.0
1754653813.4381502,0.77091,0.22686,0.0,1.5,0.6,0.21634,0.0
1754653813.486174,0.77021,0.32084,0.0,1.5,0.6,0.31032,0.0
1754653813.5582058,0.76831,0.40462,0.0,1.5,0.6,0.31032,0.0
1754653813.5983434,0.76713,0.44163,0.0,-1.5,0.6,0.43111,0.0
1754653813.6578157,0.76629,0.47704,0.0,1.5,0.6,0.43111,0.0
1754653813.7061815,0.76569,0.51258,0.0,1.5,0.6,0.46652,0.0
1754653813.7552123,0.76486,0.55006,0.0,1.5,0.6,0.53954,0.0
1754653813.8180833,0.76406,0.58993,0.0,1.5,0.6,0.53954,0.0
1754653813.8533769,0.76319,0.6317,0.0,1.5,0.6,0.6211800000000001,0.0
1754653813.90274,0.76223,0.67441,0.0,1.485319580781458,0.6,0.66389,0.0
1754653813.9577272,0.76223,0.67441,0.0,1.467753922247885,0.6,0.66389,0.0
1754653814.038606,0.76223,0.67441,0.0,1.4419172104835485,0.6,0.66389,0.0
1754653814.0860832,0.76223,0.67441,0.0,1.4267506044626208,0.6,0.66389,0.0
1754653814.1386113,0.75914,0.83559,0.0,-1.5,0.6,0.8250700000000001,0.0
1754653814.1859455,0.75861,0.87365,0.0,0.3588824320912331,0.6,0.8631300000000001,0.0
1754653814.2373505,0.75746,0.95064,0.0,-1.5,0.6,0.94012,0.0
1754653814.293378,0.75746,0.95064,0.0,-0.1893636339783697,0.6,0.94012,0.0
1754653814.352701,0.7567,1.01762,0.0,-0.6251484509587306,0.6,1.0071,0.0
1754653814.3976178,0.75649,1.03387,0.0,-0.7165767361998581,0.6,1.0071,0.0
1754653814.4525096,0.75705,1.04089,0.0,-0.949119006180766,0.6,1.03037,0.0
1754653814.4977334,0.75421,1.04071,0.0,-1.0464336528301268,0.6,1.03037,0.0
