time,x,y,z,pid_output,target_distance,relative_position,response_time_s
1754654369.464833,-3e-05,2e-05,0.0,1.1854073348745555,0.6,2e-05,23.11098337173462
1754654369.5028322,4e-05,-4e-05,0.0,0.697382432450724,0.6,9e-05,0.0
1754654369.5630622,0.00209,-0.00021,0.0,1.4055981962163446,0.6,9e-05,0.0
1754654369.603058,0.01139,0.00016,0.0,-1.5,0.6,0.01144,0.0
1754654369.6645105,0.03299,0.00052,0.0,-1.5,0.6,0.03304,0.0
1754654369.706507,0.06764,-2e-05,0.0,-1.5,0.6,0.06769,0.0
1754654369.7630477,0.113,-8e-05,0.0,1.1799798830547332,0.6,0.11305,0.0
1754654369.8230555,0.16097,-0.00141,0.0,-1.5,0.6,0.16102,0.0
1754654369.8832507,0.20944,-0.00219,0.0,-1.5,0.6,0.2094899999999999,0.0
1754654369.925261,0.2583,-0.00262,0.0,0.9797832900645732,0.6,0.2094899999999999,0.0
1754654369.9844878,0.3052,-0.00355,0.0,0.7656055893216133,0.6,0.30525,0.0
1754654370.0456862,0.34849,-0.00439,0.0,-1.5,0.6,0.34854,0.0
1754654370.082683,0.38765,-0.00496,0.0,0.6743166592984199,0.6,0.34854,0.0
1754654370.1440077,0.42354,-0.00496,0.0,0.5880269913363457,0.6,0.3877,0.0
1754654370.183005,0.45702,-0.00472,0.0,0.430592947170973,0.6,0.45707,0.0
1754654370.243549,0.48836,-0.00526,0.0,-1.5,0.6,0.48841,0.0
1754654370.2825482,0.51667,-0.00549,0.0,0.3624124542534352,0.6,0.48841,0.0
1754654370.3440015,0.54043,-0.00568,0.0,-1.5,0.6,0.54048,0.0
1754654370.383999,0.55872,-0.00562,0.0,0.2449010438625814,0.6,0.54048,0.0
1754654370.444535,0.57155,-0.00578,0.0,-1.5,0.6,0.5716,0.0
1754654370.5045283,0.57999,-0.00541,0.0,0.1745849766299725,0.6,0.5716,0.0
1754654370.5435078,0.58573,-0.00502,0.0,-1.5,0.6,0.58004,0.0
1754654370.604357,0.58994,-0.00503,0.0,-1.5,0.6,0.58004,0.0
1754654370.6437314,0.59409,-0.00519,0.0,-1.5,0.6,0.58004,0.0
1754654370.704327,0.5969,-0.00515,0.0,-1.5,0.6,0.58004,0.0
1754654370.7448292,0.59799,-0.00525,0.0,-1.5,0.6,0.58004,0.0
1754654370.8036568,0.59815,-0.00511,0.0,-1.5,0.6,0.58004,0.0
1754654370.8539505,0.59787,-0.00506,0.0,-1.5,0.6,0.58004,0.0
1754654370.903284,0.597,-0.0053,0.0,-1.5,0.6,0.58004,0.0
1754654370.9435875,0.59612,-0.00568,0.0,-1.5,0.6,0.58004,0.0
1754654371.003438,0.59622,-0.00495,0.0,-1.5,0.6,0.58004,0.0
1754654371.0441012,0.59672,-0.00426,0.0,-1.5,0.6,0.58004,0.0
1754654371.1033475,0.59754,-0.00507,0.0,-1.5,0.6,0.58004,0.0
1754654371.1438074,0.59801,-0.00654,0.0,-1.5,0.6,0.58004,0.0
1754654371.2031803,0.59812,-0.00776,0.0,-1.5,0.6,0.58004,0.0
1754654371.2445142,0.59756,-0.00827,0.0,-1.5,0.6,0.58004,0.0
1754654371.303273,0.59663,-0.00851,0.0,-1.5,0.6,0.58004,0.0
1754654371.3434598,0.59631,-0.0075,0.0,-1.5,0.6,0.58004,0.0
1754654371.3933716,0.59717,-0.00553,0.0,-1.5,0.6,0.58004,0.0
1754654371.4437785,0.59717,-0.00553,0.0,-1.5,0.6,0.58004,0.0
1754654371.5041754,0.59766,-0.00463,0.0,-1.5,0.6,0.58004,0.0
1754654371.543947,0.59805,-0.00458,0.0,-1.5,0.6,0.58004,0.0
1754654371.6020565,0.59867,-0.00578,0.0,-1.5,0.6,0.58004,0.0
1754654371.6445982,0.59827,-0.00675,0.0,-1.5,0.6,0.58004,0.0
1754654371.7013032,0.59789,-0.00712,0.0,-1.5,0.6,0.58004,0.0
1754654371.7433248,0.59789,-0.00712,0.0,-1.5,0.6,0.58004,0.0
1754654371.80101,0.59757,-0.00672,0.0,-1.5,0.6,0.58004,0.0
1754654371.8436227,0.59705,-0.00613,0.0,-1.5,0.6,0.58004,0.0
1754654371.9008143,0.59699,-0.00545,0.0,-1.5,0.6,0.58004,0.0
1754654371.9439857,0.59732,-0.00502,0.0,-1.5,0.6,0.58004,0.0
1754654372.0043287,0.59746,-0.00482,0.0,-1.5,0.6,0.58004,0.0
1754654372.060424,0.59701,-0.00536,0.0,-1.5,0.6,0.58004,0.0
1754654372.103267,0.5973,-0.006,0.0,-1.5,0.6,0.58004,0.0
1754654372.1602232,0.59715,-0.00608,0.0,-1.5,0.6,0.58004,0.0
1754654372.205322,0.59716,-0.00574,0.0,-1.5,0.6,0.58004,0.0
1754654372.2601988,0.59739,-0.00509,0.0,-1.5,0.6,0.58004,0.0
1754654372.3101704,0.59688,-0.0043,0.0,-1.5,0.6,0.58004,0.0
1754654372.3607943,0.59652,-0.0042,0.0,-1.5,0.6,0.58004,0.0
1754654372.418471,0.59694,-0.00426,0.0,-1.5,0.6,0.58004,0.0
1754654372.4634266,0.59728,-0.00447,0.0,-1.5,0.6,0.58004,0.0
1754654372.5281382,0.59713,-0.00515,0.0,-1.5,0.6,0.58004,0.0
1754654372.5669458,0.59722,-0.00541,0.0,-1.5,0.6,0.58004,0.0
1754654372.6184144,0.59678,-0.00512,0.0,-1.5,0.6,0.58004,0.0
1754654372.663388,0.59613,-0.00553,0.0,-1.5,0.6,0.58004,0.0
1754654372.7183847,0.59638,-0.00571,0.0,-1.5,0.6,0.58004,0.0
1754654372.7843451,0.59663,-0.00527,0.0,-1.5,0.6,0.58004,0.0
1754654372.8242931,0.59687,-0.00526,0.0,-1.5,0.6,0.58004,0.0
1754654372.8850098,0.59725,-0.00528,0.0,-1.5,0.6,0.58004,0.0
1754654372.9242966,0.59724,-0.00501,0.0,-1.5,0.6,0.58004,0.0
1754654372.976643,0.59698,-0.0049,0.0,-1.5,0.6,0.58004,0.0
1754654373.024297,0.59516,-0.00491,0.0,-1.5,0.6,0.58004,0.0
1754654373.084306,0.59382,-0.0047,0.0,-1.5,0.6,0.58004,0.0
1754654373.1349318,0.59321,-0.00467,0.0,-1.5,0.6,0.58004,0.0
1754654373.1844175,0.59279,-0.00448,0.0,-1.5,0.6,0.58004,0.0
1754654373.2348988,0.5928,-0.00429,0.0,-1.5,0.6,0.58004,0.0
1754654373.284371,0.59274,-0.00398,0.0,-1.5,0.6,0.58004,0.0
1754654373.335488,0.59283,-0.00364,0.0,-1.5,0.6,0.58004,0.0
1754654373.3841808,0.59279,-0.00326,0.0,-1.5,0.6,0.58004,0.0
1754654373.4425485,0.59276,-0.00284,0.0,-1.5,0.6,0.58004,0.0
1754654373.4845085,0.59277,-0.00235,0.0,-1.5,0.6,0.58004,0.0
1754654373.5424857,0.59282,-0.00196,0.0,-1.5,0.6,0.58004,0.0
1754654373.585456,0.59275,-0.00181,0.0,-1.5,0.6,0.58004,0.0
1754654373.6424332,0.59267,-0.00162,0.0,-1.5,0.6,0.58004,0.0
1754654373.6851878,0.59243,-0.00148,0.0,-1.5,0.6,0.58004,0.0
1754654373.743888,0.59232,-0.00117,0.0,-1.5,0.6,0.58004,0.0
1754654373.784061,0.5923,-0.00073,0.0,-1.5,0.6,0.58004,0.0
1754654373.840175,0.5925,-0.00011,0.0,-1.5,0.6,0.58004,0.0
1754654373.905785,0.59266,0.00051,0.0,-1.5,0.6,0.00062,0.0
1754654373.9433217,0.59261,0.00095,0.0,-1.5,0.6,0.00106,0.0
1754654373.9923716,0.59243,0.00213,0.0,1.3923710388269424,0.6,0.00224,0.0
1754654374.0642822,0.59249,0.00564,0.0,1.397013883889198,0.6,0.00575,0.0
1754654374.105162,0.593,0.0171,0.0,1.377944099651575,0.6,0.01721,0.0
1754654374.1510744,0.59535,0.04187,0.0,1.329175170160055,0.6,0.0419799999999999,0.0
1754654374.21724,0.59567,0.07954,0.0,1.2536106630198955,0.6,0.07965,0.0
1754654374.2989578,0.59509,0.17331,0.0,1.0506962464125156,0.6,0.17342,0.0
1754654374.3588288,0.59417,0.22171,0.0,0.9470381724336144,0.6,0.22182,0.0
1754654374.4049408,0.59293,0.26936,0.0,-1.5,0.6,0.26947,0.0
1754654374.458792,0.59252,0.31517,0.0,0.7426372831101415,0.6,0.31528,0.0
1754654374.5039318,0.59254,0.35671,0.0,-1.5,0.6,0.35682,0.0
1754654374.558937,0.59168,0.39468,0.0,0.6549513308959005,0.6,0.35682,0.0
1754654374.6049764,0.59095,0.42954,0.0,-1.5,0.6,0.42965,0.0
1754654374.6509848,0.58995,0.46078,0.0,0.4926069582185743,0.6,0.42965,0.0
1754654374.7019706,0.58904,0.48848,0.0,0.3591727491583822,0.6,0.48859,0.0
1754654374.7588253,0.58841,0.5115,0.0,0.3081270046281812,0.6,0.51161,0.0
1754654374.8088102,0.58788,0.52996,0.0,0.309452455068588,0.6,0.51161,0.0
1754654374.8638184,0.58743,0.54434,0.0,-1.5,0.6,0.5444500000000001,0.0
1754654374.9243786,0.58717,0.55606,0.0,-1.5,0.6,0.55617,0.0
1754654374.9640243,0.5871,0.56562,0.0,-1.5,0.6,0.5657300000000001,0.0
1754654375.024427,0.587,0.57458,0.0,0.1676530503525732,0.6,0.57469,0.0
1754654375.075384,0.587,0.57458,0.0,0.1680475427408216,0.6,0.57469,0.0
1754654375.1244855,0.58625,0.59263,0.0,0.1684127985858914,0.6,0.57469,0.0
1754654375.1838894,0.58623,0.60187,0.0,-1.5,0.6,0.59274,0.0
1754654375.2189667,0.58604,0.61084,0.0,-1.5,0.6,0.59274,0.0
1754654375.2759414,0.58606,0.61821,0.0,-1.5,0.6,0.59274,0.0
1754654375.346435,0.58634,0.62179,0.0,-1.5,0.6,0.59274,0.0
1754654375.3840406,0.58667,0.62106,0.0,-1.5,0.6,0.59274,0.0
1754654375.443279,0.58673,0.61994,0.0,-1.5,0.6,0.59274,0.0
1754654375.4843576,0.58665,0.61978,0.0,-1.5,0.6,0.59274,0.0
1754654375.543273,0.58805,0.6195,0.0,-1.5,0.6,0.59274,0.0
1754654375.5839,0.5879,0.61936,0.0,-1.5,0.6,0.59274,0.0
1754654375.6442869,0.58702,0.619,0.0,-1.5,0.6,0.59274,0.0
1754654375.6870909,0.58674,0.61847,0.0,-1.5,0.6,0.59274,0.0
1754654375.7432718,0.58723,0.61818,0.0,-1.5,0.6,0.59274,0.0
1754654375.7838216,0.58764,0.61891,0.0,-1.5,0.6,0.59274,0.0
1754654375.8436313,0.58834,0.61943,0.0,-1.5,0.6,0.59274,0.0
1754654375.8837323,0.58903,0.61978,0.0,-1.5,0.6,0.59274,0.0
1754654375.9436312,0.58876,0.62039,0.0,-1.5,0.6,0.59274,0.0
1754654375.9840426,0.5885,0.62066,0.0,-1.5,0.6,0.59274,0.0
1754654376.0432513,0.58832,0.61976,0.0,-1.5,0.6,0.59274,0.0
1754654376.083023,0.58802,0.61951,0.0,-1.5,0.6,0.59274,0.0
1754654376.1436696,0.58812,0.61978,0.0,-1.5,0.6,0.59274,0.0
1754654376.1842282,0.58794,0.61953,0.0,-1.5,0.6,0.59274,0.0
1754654376.2439797,0.58795,0.61961,0.0,-1.5,0.6,0.59274,0.0
1754654376.3043027,0.58803,0.61999,0.0,-1.5,0.6,0.59274,0.0
1754654376.3432777,0.58781,0.62018,0.0,-1.5,0.6,0.59274,0.0
1754654376.40432,0.58768,0.62056,0.0,-1.5,0.6,0.59274,0.0
1754654376.4449592,0.58762,0.62131,0.0,-1.5,0.6,0.59274,0.0
1754654376.5045812,0.58668,0.62144,0.0,-1.5,0.6,0.59274,0.0
1754654376.563265,0.58687,0.62097,0.0,-1.5,0.6,0.59274,0.0
1754654376.6034808,0.58682,0.62059,0.0,-1.5,0.6,0.59274,0.0
1754654376.6637473,0.58636,0.62052,0.0,-1.5,0.6,0.59274,0.0
1754654376.703889,0.58658,0.62044,0.0,-1.5,0.6,0.59274,0.0
1754654376.7635036,0.58615,0.62032,0.0,-1.5,0.6,0.59274,0.0
1754654376.8036685,0.58527,0.6208,0.0,-1.5,0.6,0.59274,0.0
1754654376.8637626,0.58561,0.6209,0.0,-1.5,0.6,0.59274,0.0
1754654376.9033022,0.58598,0.62082,0.0,-1.5,0.6,0.59274,0.0
1754654376.9641442,0.58541,0.62095,0.0,-1.5,0.6,0.59274,0.0
1754654377.0042813,0.58561,0.62084,0.0,-1.5,0.6,0.59274,0.0
1754654377.0637624,0.58568,0.62025,0.0,-1.5,0.6,0.59274,0.0
1754654377.1032467,0.58518,0.6199,0.0,-1.5,0.6,0.59274,0.0
1754654377.1637492,0.58535,0.61962,0.0,-1.5,0.6,0.59274,0.0
1754654377.203862,0.58535,0.61868,0.0,-1.5,0.6,0.59274,0.0
1754654377.2638743,0.58489,0.61861,0.0,-1.5,0.6,0.59274,0.0
1754654377.3033931,0.58469,0.61912,0.0,-1.5,0.6,0.59274,0.0
1754654377.3638182,0.5845,0.61921,0.0,-1.5,0.6,0.59274,0.0
1754654377.4086394,0.58449,0.61999,0.0,-1.5,0.6,0.59274,0.0
1754654377.4638135,0.58426,0.62031,0.0,-1.5,0.6,0.59274,0.0
1754654377.6209905,0.58386,0.61976,0.0,-1.5,0.6,0.59274,0.0
1754654377.6664052,0.584,0.61848,0.0,-1.5,0.6,0.59274,0.0
1754654377.7234926,0.58422,0.61767,0.0,-1.5,0.6,0.59274,0.0
1754654377.7587676,0.58492,0.61621,0.0,-1.5,0.6,0.59274,0.0
1754654377.9005227,0.5885,0.61584,0.0,-1.5,0.6,0.59274,0.0
1754654377.9201963,0.59067,0.61629,0.0,-1.5,0.6,0.59274,0.0
1754654377.9667397,0.59235,0.61664,0.0,-1.5,0.6,0.59274,0.0
1754654378.0151465,0.59332,0.61686,0.0,-1.5,0.6,0.59274,0.0
1754654378.1861084,0.59377,0.61705,0.0,-1.5,0.6,0.59274,0.0
1754654378.2248845,0.59342,0.61704,0.0,-1.5,0.6,0.59274,0.0
1754654378.2816896,0.59329,0.61705,0.0,-1.5,0.6,0.59274,0.0
1754654378.3245018,0.59309,0.6172,0.0,-1.5,0.6,0.59274,0.0
1754654378.462587,0.59306,0.61738,0.0,-1.5,0.6,0.59274,0.0
1754654378.4833925,0.59317,0.61809,0.0,-1.5,0.6,0.59274,0.0
1754654378.5243962,0.59329,0.6183,0.0,-1.5,0.6,0.59274,0.0
1754654378.582643,0.59326,0.61838,0.0,1.388921807533264,0.6,2.999999999997449e-05,0.0
1754654378.6683142,0.59321,0.61844,0.0,1.404226850053072,0.6,7.999999999996898e-05,0.0
1754654378.731579,0.59183,0.6183,0.0,1.4124390041210648,0.6,0.00146,0.0
1754654378.731579,0.58525,0.61757,0.0,1.397305004121065,0.6,0.0080399999999999,0.0
1754654378.804274,0.56611,0.61552,0.0,-1.5,0.6,0.0271799999999999,0.0
1754654378.8425088,0.56611,0.61552,0.0,1.3727575127613545,0.6,0.0271799999999999,0.0
1754654379.025595,0.49188,0.60494,0.0,1.2307928499686718,0.6,0.10141,0.0
1754654379.025595,0.44351,0.59931,0.0,1.2331414737370012,0.6,0.10141,0.0
