time,x,y,z,pid_output,target_distance,relative_position,response_time_s
1754654591.99888,-0.00027,0.00036,0.0,0.1870656123727015,0.6,0.0,18.34058713912964
1754654592.0598896,-0.00034,0.00048,0.0,0.1288457624644801,0.6,0.00011,0.0
1754654592.0994115,-7e-05,0.00056,0.0,0.2260579690111466,0.6,0.00016,0.0
1754654592.1594207,0.00274,0.00058,0.0,-1.5,0.6,0.00297,0.0
1754654592.199845,0.03491,0.00227,0.0,-1.5,0.6,0.03514,0.0
1754654592.2588542,0.06545,0.00252,0.0,-1.5,0.6,0.0656799999999999,0.0
1754654592.2991538,0.1012,0.00272,0.0,0.7033228332114798,0.6,0.0656799999999999,0.0
1754654592.3591626,0.1012,0.00272,0.0,0.7644867481798243,0.6,0.1014299999999999,0.0
1754654592.3982997,0.18309,0.00393,0.0,-1.5,0.6,0.18332,0.0
1754654592.459303,0.18309,0.00393,0.0,0.8022424279739372,0.6,0.18332,0.0
1754654592.4995067,0.26748,0.00679,0.0,-1.5,0.6,0.26771,0.0
1754654592.5595255,0.3079,0.00875,0.0,-1.5,0.6,0.30813,0.0
1754654592.6195958,0.34737,0.00986,0.0,-1.5,0.6,0.3476,0.0
1754654592.6586058,0.38436,0.01117,0.0,0.5807069671099184,0.6,0.3476,0.0
1754654592.7198226,0.4175,0.0121,0.0,0.5143169018571375,0.6,0.38459,0.0
1754654592.758833,0.44604,0.01249,0.0,0.4535389089522361,0.6,0.41773,0.0
1754654592.8193665,0.46921,0.01309,0.0,0.4020583299510478,0.6,0.44627,0.0
1754654592.8808994,0.48772,0.01364,0.0,-1.5,0.6,0.48795,0.0
1754654592.9188924,0.50261,0.01421,0.0,-1.5,0.6,0.50284,0.0
1754654592.9804382,0.51513,0.01457,0.0,-1.5,0.6,0.5153599999999999,0.0
1754654593.0194323,0.52722,0.01467,0.0,0.2772887784078123,0.6,0.5153599999999999,0.0
1754654593.0799663,0.53974,0.01485,0.0,-1.5,0.6,0.53997,0.0
1754654593.1189692,0.55321,0.01491,0.0,-1.5,0.6,0.5534399999999999,0.0
1754654593.179036,0.56742,0.01567,0.0,-1.5,0.6,0.56765,0.0
1754654593.2390327,0.58129,0.01595,0.0,0.1813749148008824,0.6,0.56765,0.0
1754654593.2803135,0.59332,0.01627,0.0,-1.5,0.6,0.5815199999999999,0.0
