time,x,y,z,pid_output,target_distance,relative_position,response_time_s
1754668779.8506553,-0.0,-8e-05,0.0,1.2599790000000002,0.6,1e-05,18.99754023551941
1754668779.9100516,0.00043,-0.0001,0.0,1.259076,0.6,0.00044,0.0
1754668779.966009,0.00501,0.00024,0.0,1.249458,0.6,0.0050199999999999,0.0
1754668780.011114,0.01871,0.00223,0.0,1.220688,0.6,0.01872,0.0
1754668780.0626798,0.04538,0.00777,0.0,1.164681,0.6,0.04539,0.0
1754668780.1103325,0.08288,0.01217,0.0,1.085931,0.6,0.0828899999999999,0.0
1754668780.17001,0.12783,0.01748,0.0,0.991536,0.6,0.12784,0.0
1754668780.2218013,0.17736,0.02314,0.0,0.887523,0.6,0.17737,0.0
1754668780.2838778,0.22881,0.02942,0.0,0.7794779999999999,0.6,0.22882,0.0
1754668780.3474553,0.32325,0.04085,0.0,0.581154,0.6,0.32326,0.0
1754668780.410105,0.3622,0.04525,0.0,0.4993589999999999,0.6,0.36221,0.0
1754668780.4724348,0.396,0.04908,0.0,0.4993589999999999,0.6,0.36221,0.0
1754668780.5281775,0.42764,0.05248,0.0,0.3619349999999999,0.6,0.42765,0.0
1754668780.569849,0.45842,0.05565,0.0,0.297297,0.6,0.45843,0.0
1754668780.6253471,0.48629,0.05832,0.0,0.2387699999999999,0.6,0.4863,0.0
1754668780.687878,0.50948,0.06076,0.0,0.1900709999999999,0.6,0.50949,0.0
1754668780.7504308,0.53977,0.06403,0.0,0.1264620000000001,0.6,0.5397799999999999,0.0
1754668780.7918172,0.54833,0.06486,0.0,0.108486,0.6,0.5483399999999999,0.0
1754668780.8475037,0.55472,0.06577,0.0,0.095067,0.6,0.55473,0.0
1754668780.910081,0.5603,0.06678,0.0,0.083349,0.6,0.56031,0.0
1754668780.9656255,0.56575,0.06712,0.0,0.0719040000000001,0.6,0.5657599999999999,0.0
1754668781.027945,0.57079,0.06739,0.0,0.06132,0.6,0.5708,0.0
1754668781.069837,0.57532,0.06768,0.0,0.0518069999999999,0.6,0.57533,0.0
1754668781.1323128,0.57905,0.06796,0.0,0.0439740000000001,0.6,0.5790599999999999,0.0
1754668781.1906316,0.58204,0.06815,0.0,0.037695,0.6,0.58205,0.0
1754668781.2310524,0.58584,0.06845,0.0,0.037695,0.6,0.58205,0.0
1754668781.281195,0.58584,0.06845,0.0,0.037695,0.6,0.58205,0.0
1754668781.3503983,0.58809,0.06944,0.0,0.037695,0.6,0.58205,0.0
1754668781.3975248,0.5885,0.06958,0.0,0.037695,0.6,0.58205,0.0
1754668781.47125,0.58812,0.06934,0.0,0.037695,0.6,0.58205,0.0
1754668781.5080886,0.58733,0.06902,0.0,0.037695,0.6,0.58205,0.0
1754668781.55659,0.58603,0.06818,0.0,0.037695,0.6,0.58205,0.0
1754668781.6110594,0.58459,0.06687,0.0,0.037695,0.6,0.58205,0.0
1754668781.671496,0.58444,0.06721,0.0,0.037695,0.6,0.58205,0.0
1754668781.7119727,0.58508,0.06709,0.0,0.037695,0.6,0.58205,0.0
1754668781.757929,0.58631,0.06654,0.0,0.037695,0.6,0.58205,0.0
1754668781.820716,0.58694,0.06612,0.0,0.037695,0.6,0.58205,0.0
1754668781.862143,0.58738,0.06571,0.0,0.037695,0.6,0.58205,0.0
1754668781.9309287,0.58724,0.06621,0.0,0.037695,0.6,0.58205,0.0
1754668781.9710736,0.58628,0.06742,0.0,0.037695,0.6,0.58205,0.0
1754668782.0300138,0.58535,0.06809,0.0,0.037695,0.6,0.58205,0.0
1754668782.0699654,0.58487,0.06844,0.0,0.037695,0.6,0.58205,0.0
1754668782.130169,0.58548,0.06848,0.0,0.037695,0.6,0.58205,0.0
1754668782.1815865,0.58602,0.06832,0.0,0.037695,0.6,0.58205,0.0
1754668782.2311246,0.58615,0.06859,0.0,0.037695,0.6,0.58205,0.0
1754668782.278733,0.58616,0.06796,0.0,0.037695,0.6,0.58205,0.0
1754668782.3482635,0.58586,0.0674,0.0,0.037695,0.6,0.58205,0.0
1754668782.3899226,0.58555,0.06791,0.0,0.037695,0.6,0.58205,0.0
1754668782.4450133,0.58563,0.06832,0.0,0.037695,0.6,0.58205,0.0
1754668782.4871442,0.58576,0.06847,0.0,0.037695,0.6,0.58205,0.0
1754668782.543948,0.58598,0.06901,0.0,0.037695,0.6,0.58205,0.0
1754668782.5843637,0.58604,0.06904,0.0,0.037695,0.6,0.58205,0.0
1754668782.642126,0.58631,0.06861,0.0,0.037695,0.6,0.58205,0.0
1754668782.6908655,0.58653,0.06875,0.0,0.037695,0.6,0.58205,0.0
1754668782.7512813,0.58691,0.06836,0.0,0.037695,0.6,0.58205,0.0
