time,x,y,z,pid_output,target_distance,relative_position
1754653196.194948,0.0,0.0,0.0,,,
1754653196.2366116,1e-05,-1e-05,0.0,,,
1754653196.270681,0.0,-0.0,0.0,,,
1754653196.3354437,-0.0,2e-05,0.0,,,
1754653196.394419,-0.0,2e-05,0.0,,,
1754653196.4350877,0.0,3e-05,0.0,,,
1754653196.5142968,0.0,4e-05,0.0,,,
1754653196.555353,1e-05,7e-05,0.0,,,
1754653196.6151853,1e-05,7e-05,0.0,,,
1754653196.6537435,-0.0,7e-05,0.0,1.2667434596099856,0.6,1e-05
1754653196.711375,1e-05,6e-05,0.0,1.284053619236946,0.6,0.0
1754653196.7552903,0.00163,0.00018,0.0,-1.5,0.6,0.00162
1754653196.8113642,0.00913,0.00147,0.0,1.2948512534384726,0.6,0.00912
1754653196.8748271,0.03041,0.00579,0.0,1.2689127540755274,0.6,0.0304
1754653196.915222,0.06546,0.00971,0.0,-1.5,0.6,0.06545000000000001
1754653196.9746068,0.10859,0.01712,0.0,1.1320762277026175,0.6,0.10858000000000001
1754653197.0369747,0.15464,0.02446,0.0,1.147224024154663,0.6,0.10858000000000001
1754653197.070322,0.20279,0.0301,0.0,0.9569900559587479,0.6,0.20278
1754653197.1284204,0.25116,0.03613,0.0,0.8669519625377655,0.6,0.25115
1754653197.1700277,0.29806,0.04303,0.0,0.775719329779148,0.6,0.29805
1754653197.22848,0.34195,0.04946,0.0,0.6923751760051249,0.6,0.34193999999999997
1754653197.2951627,0.38149,0.05543,0.0,-1.5,0.6,0.38148
1754653197.3285348,0.41708,0.0608,0.0,0.6214257766396998,0.6,0.38148
1754653197.3955238,0.4497,0.06569,0.0,-1.5,0.6,0.44969
1754653197.4550557,0.47923,0.07026,0.0,-1.5,0.6,0.47922
1754653197.496056,0.50556,0.07437,0.0,0.42914270365047474,0.6,0.47922
1754653197.556601,0.52852,0.07812,0.0,-1.5,0.6,0.52851
1754653197.6161377,0.54832,0.08147,0.0,0.33060965425276756,0.6,0.52851
1754653197.656335,0.56529,0.0842,0.0,0.290079936424732,0.6,0.5483100000000001
