time,x,y,z,pid_output,target_distance,relative_position
1754653722.331111,0.0,0.0,0.0,,,
1754653722.4080412,-2e-05,3e-05,0.0,,,
1754653722.4455948,-2e-05,3e-05,0.0,,,
1754653722.4936688,-0.0,4e-05,0.0,,,
1754653722.5308907,1e-05,1e-05,0.0,,,
1754653722.5906115,1e-05,3e-05,0.0,0.20033301468478817,0.6,0.0
1754653722.631026,1e-05,4e-05,0.0,0.2677536028035636,0.6,0.0
1754653722.6955078,0.00495,0.00031,0.0,0.3751782557538106,0.6,0.0
1754653722.7529523,0.01756,0.00102,0.0,0.4621883747382724,0.6,0.01755
1754653722.7905543,0.03979,0.00115,0.0,0.5064741090361015,0.6,0.039779999999999996
1754653722.8554528,0.06941,0.00169,0.0,-1.5,0.6,0.0694
1754653722.8901587,0.10331,0.00228,0.0,0.5992197559637332,0.6,0.1033
1754653722.9500256,0.14009,0.00302,0.0,0.64178157096976,0.6,0.14007999999999998
1754653722.9947398,0.17744,0.00323,0.0,0.705463499548218,0.6,0.14007999999999998
1754653723.0467966,0.21431,0.00402,0.0,0.6640227737388666,0.6,0.2143
1754653723.112413,0.24977,0.00463,0.0,0.7455603826243168,0.6,0.2143
1754653723.1560907,0.28422,0.00542,0.0,-1.5,0.6,0.28420999999999996
1754653723.218232,0.28422,0.00542,0.0,0.7341593323062747,0.6,0.28420999999999996
1754653723.2557719,0.35237,0.00699,0.0,-1.5,0.6,0.35236
1754653723.3140254,0.38757,0.00778,0.0,0.5538107569177152,0.6,0.38756
1754653723.3769128,0.42378,0.00875,0.0,0.5577549560430051,0.6,0.38756
1754653723.4364386,0.4596,0.00934,0.0,0.4096389461388589,0.6,0.45959
1754653723.47644,0.49244,0.00942,0.0,0.41136611503672604,0.6,0.45959
1754653723.5356457,0.51971,0.00969,0.0,0.28701356042933457,0.6,0.5197
1754653723.5956457,0.54019,0.00998,0.0,-1.5,0.6,0.54018
1754653723.6357763,0.55377,0.0105,0.0,-1.5,0.6,0.55376
1754653723.6957712,0.56247,0.01115,0.0,-1.5,0.6,0.5624600000000001
1754653723.735309,0.56786,0.01135,0.0,-1.5,0.6,0.5678500000000001
1754653723.7953072,0.57293,0.0115,0.0,-1.5,0.6,0.5729200000000001
1754653723.8558474,0.58748,0.0115,0.0,0.17975635976457585,0.6,0.5729200000000001
1754653723.89486,0.59831,0.01161,0.0,-1.5,0.6,0.58747
1754653723.9636967,0.60952,0.01178,0.0,-1.5,0.6,0.58747
1754653723.9952683,0.61844,0.0118,0.0,-1.5,0.6,0.58747
1754653724.0548809,0.62171,0.01202,0.0,-1.5,0.6,0.58747
1754653724.095131,0.62163,0.01234,0.0,-1.5,0.6,0.58747
1754653724.1558957,0.62193,0.0126,0.0,-1.5,0.6,0.58747
1754653724.215824,0.62241,0.0127,0.0,-1.5,0.6,0.58747
1754653724.2556002,0.62199,0.01171,0.0,-1.5,0.6,0.58747
1754653724.3148274,0.62161,0.01259,0.0,-1.5,0.6,0.58747
1754653724.3553853,0.62131,0.01319,0.0,-1.5,0.6,0.58747
1754653724.4148166,0.62104,0.01302,0.0,-1.5,0.6,0.58747
