time,x,y,z,pid_output,target_distance,relative_position
1754668621.1612308,0.0,0.0,0.0,,,
1754668621.2236397,3e-05,-3e-05,0.0,,,
1754668621.2654383,7e-05,1e-05,0.0,,,
1754668621.3215861,7e-05,4e-05,0.0,,,
1754668621.3860848,3e-05,-1e-05,0.0,0.5999599999999999,0.6,3.9999999999999996e-05
1754668621.4260647,-0.0,-2e-05,0.0,0.59993,0.6,7e-05
1754668621.5008883,0.00078,6e-05,0.0,0.59929,0.6,0.00071
1754668621.5374086,0.00667,0.0016,0.0,0.5933999999999999,0.6,0.0066
1754668621.6060507,0.02285,0.00282,0.0,0.57722,0.6,0.022779999999999998
1754668621.6534138,0.05241,0.00677,0.0,0.54766,0.6,0.05234
1754668621.6934206,0.08915,0.01123,0.0,0.51092,0.6,0.08907999999999999
1754668621.7538836,0.12901,0.01612,0.0,0.4710599999999999,0.6,0.12894000000000003
1754668621.8486853,0.20575,0.02525,0.0,0.39432,0.6,0.20568
1754668621.9048085,0.23422,0.02859,0.0,0.36584999999999995,0.6,0.23415000000000002
1754668621.9458485,0.25465,0.03129,0.0,0.34542,0.6,0.25458
1754668622.0041933,0.26904,0.03255,0.0,0.33103,0.6,0.26897
1754668622.066472,0.28035,0.03384,0.0,0.31972,0.6,0.28028
1754668622.1270912,0.29134,0.03538,0.0,0.30873,0.6,0.29127
1754668622.197022,0.32027,0.03862,0.0,0.2798,0.6,0.3202
1754668622.2534072,0.33838,0.04068,0.0,0.26169,0.6,0.33831
1754668622.3310645,0.35751,0.04285,0.0,0.26169,0.6,0.33831
1754668622.374275,0.37594,0.04494,0.0,0.22413,0.6,0.37587
1754668622.4330866,0.39154,0.04639,0.0,0.20853,0.6,0.39147
1754668622.4735785,0.41371,0.04872,0.0,0.18635999999999997,0.6,0.41364
1754668622.5467098,0.42104,0.04944,0.0,0.17902999999999997,0.6,0.42097
1754668622.606321,0.42775,0.05019,0.0,0.17231999999999997,0.6,0.42768
1754668622.662955,0.43481,0.05112,0.0,0.16526000000000002,0.6,0.43473999999999996
1754668622.7029495,0.44343,0.05204,0.0,0.15664,0.6,0.44336
1754668622.7645268,0.45349,0.05329,0.0,0.14658,0.6,0.45342
1754668622.8446705,0.47342,0.05576,0.0,0.12664999999999998,0.6,0.47335
1754668622.9035046,0.48225,0.05683,0.0,0.11781999999999998,0.6,0.48218
1754668622.9453092,0.48989,0.05771,0.0,0.11018,0.6,0.48982
1754668622.9938164,0.49628,0.05838,0.0,0.10379,0.6,0.49621
1754668623.0581827,0.50139,0.05902,0.0,0.09867999999999999,0.6,0.50132
1754668623.1261961,0.50581,0.05976,0.0,0.09426000000000001,0.6,0.50574
1754668623.1743696,0.50998,0.06035,0.0,0.09009,0.6,0.50991
1754668623.2368894,0.51907,0.06128,0.0,0.08099999999999996,0.6,0.519
1754668623.2895195,0.51907,0.06128,0.0,0.08099999999999996,0.6,0.519
