acc_x,acc_y,acc_z,esc_angle,esc_speed,esc_state,gyro_x,gyro_y,gyro_z,pitch,pos_x,pos_y,pos_z,roll,status_0,status_1,status_10,status_2,status_3,status_4,status_5,status_6,status_7,status_8,status_9,timestamp,yaw
-0.05001,-0.05459,0.0261,"[17934, 12387, 16173, 19757]","[5, -2, 6, -1]","[0, 0, 0, 0]",0.13786,0.01616,-1.06299,-0.37,0.2037,0.00095,0.0,-0.87,0,0,0,0,0,0,0,0,0,0,0,2025-07-08T10:54:36.332,0.39
-0.01578,0.00643,0.01222,"[17934, 12387, 16173, 19757]","[5, -2, 6, -1]","[0, 0, 0, 0]",-0.02576,0.01065,-0.99385,-0.13,0.53727,0.005,0.0,-0.87,0,0,0,0,0,0,0,0,0,0,0,2025-07-08T10:54:37.346,0.39
-0.00796,0.00487,0.01489,"[17934, 12387, 16173, 19757]","[5, -2, 6, -1]","[0, 0, 0, 0]",-0.02715,0.01691,-1.01138,-0.14,0.6156,0.00535,0.0,-0.85,0,0,0,0,0,0,0,0,0,0,0,2025-07-08T10:54:38.360,0.42
-0.00915,-0.00072,0.79637,"[17934, 12387, 16173, 19757]","[5, -2, 6, -1]","[0, 0, 0, 0]",0.00687,-0.01629,-1.01822,-0.11,0.61457,0.00632,0.0,-0.9,0,0,0,0,0,0,0,0,0,0,0,2025-07-08T10:54:39.361,36.49
-0.01096,-0.03738,0.77396,"[17934, 12387, 16173, 19757]","[5, -2, 6, -1]","[0, 0, 0, 0]",0.00815,0.02052,-1.04763,0.17,0.61678,0.0098,0.0,-1.07,0,0,0,0,0,0,0,0,0,0,0,2025-07-08T10:54:40.376,76.05
-0.00674,0.00364,0.01832,"[17934, 12387, 16173, 19757]","[5, -2, 6, -1]","[0, 0, 0, 0]",0.00448,0.01122,-1.01137,0.19,0.61197,0.00894,0.0,-1.11,1,0,0,0,0,0,0,0,0,0,0,2025-07-08T10:54:41.376,89.3
-0.03663,0.03771,-0.00559,"[17934, 12387, 16173, 19757]","[5, -2, 6, -1]","[0, 0, 0, 0]",-0.12937,0.00954,-1.01699,0.12,0.60843,0.16623,0.0,-1.12,0,0,0,0,0,0,0,0,0,0,0,2025-07-08T10:54:42.381,89.19
-0.01321,0.02063,-0.0198,"[17934, 12387, 16173, 19757]","[5, -2, 6, -1]","[0, 0, 0, 0]",-0.09352,0.02545,-1.00591,0.38,0.61632,0.52451,0.0,-1.2,0,0,0,0,0,0,0,0,0,0,0,2025-07-08T10:54:43.395,89.22
-0.00499,0.00501,0.01299,"[17934, 12387, 16173, 19757]","[5, -2, 6, -1]","[0, 0, 0, 0]",0.02635,0.01455,-1.0101,0.39,0.61705,0.58251,0.0,-1.23,0,0,0,0,0,0,0,0,0,0,0,2025-07-08T10:54:44.411,89.12
-0.01002,0.01775,0.7761,"[17934, 12387, 16173, 19757]","[5, -2, 6, -1]","[0, 0, 0, 0]",0.03791,0.00315,-1.00193,0.53,0.61876,0.57235,0.0,-1.01,0,0,0,0,0,0,0,0,0,0,0,2025-07-08T10:54:45.412,118.59
