acc_x,acc_y,acc_z,esc_angle,esc_speed,esc_state,gyro_x,gyro_y,gyro_z,pitch,pos_x,pos_y,pos_z,roll,status_0,status_1,status_10,status_2,status_3,status_4,status_5,status_6,status_7,status_8,status_9,timestamp,yaw
-0.02931,0.04553,0.02443,"[16202, 26844, 11783, 31901]","[3, 5, 0, -3]","[0, 0, 0, 0]",0.16869,0.01158,-1.02804,-25.42,0.01957,0.18027,0.0,-2.88,0,0,0,0,1,0,0,0,0,0,0,2025-07-08T10:41:26.409,83.59
-0.03667,-0.0321,0.03697,"[16202, 26844, 11783, 31901]","[3, 5, 0, -3]","[0, 0, 0, 0]",-0.02358,0.02807,-1.02814,-25.24,0.05794,0.54709,0.0,-2.98,0,0,0,0,1,0,0,0,0,0,0,2025-07-08T10:41:27.418,83.64
-0.00862,0.00532,0.01591,"[16202, 26844, 11783, 31901]","[3, 5, 0, -3]","[0, 0, 0, 0]",0.01665,0.01527,-1.01206,-25.34,0.06531,0.61661,0.0,-2.97,0,0,0,0,1,0,0,0,0,0,0,2025-07-08T10:41:28.424,83.73
-0.023,0.02056,0.84144,"[16202, 26844, 11783, 31901]","[3, 5, 0, -3]","[0, 0, 0, 0]",0.00882,-0.03781,-1.00461,-18.49,0.06446,0.61801,0.0,-18.53,0,0,0,0,1,0,0,0,0,0,0,2025-07-08T10:41:29.437,123.98
0.0008,-0.02792,0.74496,"[16202, 26844, 11783, 31901]","[3, 5, 0, -3]","[0, 0, 0, 0]",0.02182,-0.00209,-1.01991,-3.22,0.06025,0.61949,0.0,-26.17,0,0,0,0,1,0,0,0,0,0,0,2025-07-08T10:41:30.439,161.44
-0.00755,0.00539,0.02056,"[16202, 26844, 11783, 31901]","[3, 5, 0, -3]","[0, 0, 0, 0]",0.00602,0.00957,-1.01297,2.18,0.05974,0.61634,0.0,-26.32,1,0,0,0,1,0,0,0,0,0,0,2025-07-08T10:41:31.440,172.75
-0.02771,-0.00295,0.06503,"[16202, 26844, 11783, 31901]","[3, 5, 0, -3]","[0, 0, 0, 0]",0.03036,-0.00696,-0.99218,2.15,-0.10242,0.63663,0.0,-26.39,0,0,0,0,1,0,0,0,0,0,0,2025-07-08T10:41:32.456,172.52
0.00258,0.00207,0.00256,"[16202, 26844, 11783, 31901]","[3, 5, 0, -3]","[0, 0, 0, 0]",0.1905,0.01397,-1.00869,2.61,-0.46886,0.6843,0.0,-26.43,0,0,0,0,1,0,0,0,0,0,0,2025-07-08T10:41:33.471,172.67
-0.0062,0.00203,0.01943,"[16202, 26844, 11783, 31901]","[3, 5, 0, -3]","[0, 0, 0, 0]",0.00522,0.01209,-1.01485,2.77,-0.48262,0.68834,0.0,-26.44,0,0,0,0,1,0,0,0,0,0,0,2025-07-08T10:41:34.475,173.19
-0.02315,0.00306,0.82607,"[16202, 26844, 11783, 31901]","[3, 5, 0, -3]","[0, 0, 0, 0]",0.0015,-0.03325,-1.00481,15.28,-0.47913,0.68872,0.0,-22.18,0,0,0,0,1,0,0,0,0,0,0,2025-07-08T10:41:35.480,-158.09
