acc_x,acc_y,acc_z,esc_angle,esc_speed,esc_state,gyro_x,gyro_y,gyro_z,pitch,pos_x,pos_y,pos_z,roll,status_0,status_1,status_10,status_2,status_3,status_4,status_5,status_6,status_7,status_8,status_9,timestamp,yaw
0.02095,0.02245,0.01163,"[25434, 11200, 17454, 12765]","[3, -3, 0, -1]","[0, 0, 0, 0]",0.12811,0.01926,-1.05927,-0.39,0.17057,0.03853,0.0,-2.08,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:28:00.078,12.86
-0.01458,0.03008,0.04803,"[25434, 11200, 17454, 12765]","[3, -3, 0, -1]","[0, 0, 0, 0]",-0.02229,0.00939,-1.00719,-0.3,0.49902,0.11634,0.0,-2.06,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:28:01.080,12.7
0.00746,0.0103,-0.76419,"[25434, 11200, 17454, 12765]","[3, -3, 0, -1]","[0, 0, 0, 0]",0.02885,0.02031,-1.00864,-0.87,0.5104,0.11988,0.0,-1.54,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:28:02.092,-18.04
0.0208,0.01543,-0.69678,"[25434, 11200, 17454, 12765]","[3, -3, 0, -1]","[0, 0, 0, 0]",-0.00816,-0.00821,-1.00106,-0.91,0.5095,0.11947,0.0,-0.2,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:28:03.094,-64.1
0.02658,0.05237,-0.04027,"[25434, 11200, 17454, 12765]","[3, -3, 0, -1]","[0, 0, 0, 0]",0.19493,0.10694,-1.00326,-0.82,0.54662,0.01276,0.0,0.01,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:28:04.095,-76.66
0.02644,0.03647,0.01441,"[25434, 11200, 17454, 12765]","[3, -3, 0, -1]","[0, 0, 0, 0]",-0.07195,0.03398,-0.9945,-1.14,0.61715,-0.31823,0.0,0.13,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:28:05.110,-76.61
0.01353,-0.0103,-0.73888,"[25434, 11200, 17454, 12765]","[3, -3, 0, -1]","[0, 0, 0, 0]",0.08633,0.02853,-1.00815,-0.79,0.637,-0.40009,0.0,0.48,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:28:06.123,-89.56
0.04387,-0.05105,-0.81007,"[25434, 11200, 17454, 12765]","[3, -3, 0, -1]","[0, 0, 0, 0]",0.03772,0.03264,-1.00467,0.51,0.63594,-0.40386,0.0,1.18,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:28:07.126,-135.01
-0.00507,0.00598,0.02309,"[25434, 11200, 17454, 12765]","[3, -3, 0, -1]","[0, 0, 0, 0]",0.00359,0.00603,-1.01216,1.34,0.63612,-0.40249,0.0,1.03,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:28:08.127,-165.08
-0.02273,0.03299,0.1037,"[25434, 11200, 17454, 12765]","[3, -3, 0, -1]","[0, 0, 0, 0]",0.04339,-0.06346,-0.98426,1.7,0.32971,-0.50922,0.0,0.98,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:28:09.142,-165.17
0.03763,0.08868,-0.82269,"[25434, 11200, 17454, 12765]","[3, -3, 0, -1]","[0, 0, 0, 0]",0.06176,0.26278,-0.98951,1.67,0.1458,-0.55227,0.0,0.92,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:28:10.158,-166.22
-0.01531,0.02226,-0.80349,"[25434, 11200, 17454, 12765]","[3, -3, 0, -1]","[0, 0, 0, 0]",-0.03145,-0.0292,-1.01385,2.52,0.14548,-0.55152,0.0,-0.16,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:28:11.160,152.23
-0.01817,0.00254,0.04687,"[25434, 11200, 17454, 12765]","[3, -3, 0, -1]","[0, 0, 0, 0]",0.01391,0.01863,-1.00751,2.34,0.15283,-0.54908,0.0,-1.77,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:28:12.175,105.82
0.02037,0.00551,-0.08792,"[25434, 11200, 17454, 12765]","[3, -3, 0, -1]","[0, 0, 0, 0]",0.17309,0.08427,-1.02737,2.27,0.09703,-0.39855,0.0,-1.73,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:28:13.190,105.85
-0.00123,0.01337,0.03075,"[25434, 11200, 17454, 12765]","[3, -3, 0, -1]","[0, 0, 0, 0]",-0.03737,-0.00098,-1.0205,1.96,0.01988,-0.09555,0.0,-1.58,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:28:14.195,105.76
0.01482,0.02012,-0.76684,"[25434, 11200, 17454, 12765]","[3, -3, 0, -1]","[0, 0, 0, 0]",-0.00878,-0.01754,-1.02155,1.51,0.01323,-0.07112,0.0,-2.23,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:28:15.201,77.86
0.02406,-0.0093,-0.77802,"[25434, 11200, 17454, 12765]","[3, -3, 0, -1]","[0, 0, 0, 0]",0.02287,0.02816,-1.00845,0.15,0.01426,-0.0718,0.0,-2.36,0,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:28:16.206,31.98
-0.00391,0.00483,0.02013,"[25434, 11200, 17454, 12765]","[3, -3, 0, -1]","[0, 0, 0, 0]",-0.00274,0.01383,-1.0129,-0.26,0.01796,-0.07115,0.0,-2.21,1,0,0,0,0,0,0,0,0,0,0,2025-07-04T16:28:17.207,17.3
