acc_x,acc_y,acc_z,esc_angle,esc_speed,esc_state,gyro_x,gyro_y,gyro_z,pitch,pos_x,pos_y,pos_z,roll,status_0,status_1,status_10,status_2,status_3,status_4,status_5,status_6,status_7,status_8,status_9,timestamp,yaw
-0.00902,0.04293,0.07703,"[10570, 14435, 26464, 23373]","[-3, -2, -1, 1]","[0, 0, 0, 0]",0.0901,-0.00507,-1.03563,-10.03,0.15414,0.04146,0.0,-1.46,0,0,0,0,1,0,0,0,0,0,0,2025-08-07T22:11:28.146,15.17
-0.02106,0.01355,0.04042,"[10570, 14435, 26464, 23373]","[-3, -2, -1, 1]","[0, 0, 0, 0]",-0.10696,0.00549,-1.01904,-10.0,0.3639,0.10301,0.0,-1.39,0,0,0,0,1,0,0,0,0,0,0,2025-08-07T22:11:29.157,15.12
0.00147,-0.01704,0.01751,"[10570, 14435, 26464, 23373]","[-3, -2, -1, 1]","[0, 0, 0, 0]",-0.0279,0.03006,-1.01675,-10.26,0.52923,0.15154,0.0,-1.52,0,0,0,0,1,0,0,0,0,0,0,2025-08-07T22:11:30.157,15.15
-0.00569,0.00476,0.01863,"[10570, 14435, 26464, 23373]","[-3, -2, -1, 1]","[0, 0, 0, 0]",0.01234,0.01732,-1.01673,-10.25,0.53948,0.15442,0.0,-1.55,0,0,0,0,1,0,0,0,0,0,0,2025-08-07T22:11:31.170,15.21
-0.01479,-0.01553,0.80309,"[10570, 14435, 26464, 23373]","[-3, -2, -1, 1]","[0, 0, 0, 0]",0.03152,0.0431,-1.03396,-8.81,0.53988,0.15442,0.0,-6.16,0,0,0,0,1,0,0,0,0,0,0,2025-08-07T22:11:32.182,42.82
-0.03513,0.00018,0.84143,"[10570, 14435, 26464, 23373]","[-3, -2, -1, 1]","[0, 0, 0, 0]",0.01473,0.00886,-1.02007,-2.63,0.54186,0.1563,0.0,-10.81,0,0,0,0,1,0,0,0,0,0,0,2025-08-07T22:11:33.194,86.45
-0.00517,0.00501,0.0167,"[10570, 14435, 26464, 23373]","[-3, -2, -1, 1]","[0, 0, 0, 0]",0.00068,0.01017,-1.01491,0.7,0.53729,0.15811,0.0,-11.35,1,0,0,0,1,0,0,0,0,0,0,2025-08-07T22:11:34.206,103.98
-0.01719,-0.00939,0.02552,"[10570, 14435, 26464, 23373]","[-3, -2, -1, 1]","[0, 0, 0, 0]",0.26343,0.01865,-1.03709,0.84,0.51871,0.20667,0.0,-11.29,0,0,0,0,1,0,0,0,0,0,0,2025-08-07T22:11:35.219,103.98
-0.03545,0.0096,0.04245,"[10570, 14435, 26464, 23373]","[-3, -2, -1, 1]","[0, 0, 0, 0]",0.12443,0.00049,-1.00971,0.46,0.46005,0.43448,0.0,-11.34,0,0,0,0,1,0,0,0,0,0,0,2025-08-07T22:11:36.220,103.79
0.01578,-0.0046,7e-05,"[10570, 14435, 26464, 23373]","[-3, -2, -1, 1]","[0, 0, 0, 0]",-0.15619,-0.01114,-1.01796,0.31,0.39987,0.6899,0.0,-11.31,0,0,0,0,1,0,0,0,0,0,0,2025-08-07T22:11:37.231,103.84
-0.00625,0.00106,0.01997,"[10570, 14435, 26464, 23373]","[-3, -2, -1, 1]","[0, 0, 0, 0]",0.00785,0.01082,-1.01439,0.55,0.38767,0.73033,0.0,-11.32,1,0,0,0,1,0,0,0,0,0,0,2025-08-07T22:11:38.244,103.83
-0.01465,0.00314,0.74571,"[10570, 14435, 26464, 23373]","[-3, -2, -1, 1]","[0, 0, 0, 0]",0.00874,0.031,-1.02042,5.66,0.38994,0.73257,0.0,-9.95,0,0,0,0,1,0,0,0,0,0,0,2025-08-07T22:11:39.251,133.13
-0.07392,0.0646,0.89251,"[10570, 14435, 26464, 23373]","[-3, -2, -1, 1]","[0, 0, 0, 0]",-0.01833,-0.03134,-0.98279,10.34,0.38641,0.71728,0.0,-3.63,0,0,0,1,1,0,0,0,0,0,0,2025-08-07T22:11:40.259,177.11
-0.00471,0.00545,0.01973,"[10570, 14435, 26464, 23373]","[-3, -2, -1, 1]","[0, 0, 0, 0]",-0.01202,0.01164,-1.01535,10.84,0.38982,0.72597,0.0,-0.65,1,0,0,0,1,0,0,0,0,0,0,2025-08-07T22:11:41.264,-166.81
0.01802,-0.05158,-0.03942,"[10570, 14435, 26464, 23373]","[-3, -2, -1, 1]","[0, 0, 0, 0]",-0.06171,0.02462,-1.05745,10.73,0.29414,0.70967,0.0,-0.59,0,0,0,0,1,0,0,0,0,0,0,2025-08-07T22:11:42.269,-167.02
-0.01052,-0.01422,-0.00699,"[10570, 14435, 26464, 23373]","[-3, -2, -1, 1]","[0, 0, 0, 0]",0.15407,0.04729,-1.06319,10.71,0.05262,0.64845,0.0,-0.57,0,0,0,0,1,0,0,0,0,0,0,2025-08-07T22:11:43.281,-166.91
-0.01618,-0.00544,0.01782,"[10570, 14435, 26464, 23373]","[-3, -2, -1, 1]","[0, 0, 0, 0]",-0.01934,0.00664,-1.02979,11.0,-0.16213,0.59747,0.0,-0.54,0,0,0,0,1,0,0,0,0,0,0,2025-08-07T22:11:44.291,-166.99
